LP,Substancja czynna,Nazwa  postać i dawka leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Wysokość limitu finansowania,Oznaczenie załącznika zawierającego zakres wskazań objętych refundacją  wg ICD 10 ,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
11,Adalimumabum,"Idacio, roztwór do wstrzykiwań we wstrzykiwaczu, 40 mg","2 wstrzykiwacze 0,8 ml + 2 gaziki",04052682034220,<1><2><3><4><5>2023-03-01/<6>2022-03-01,2 lata,"1050.1, blokery TNF - adalimumab","1448,81","1521,25","1521,25",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.; <6>B.105.,bezpłatny,0
12,Adalimumabum,"Imraldi, roztwór do wstrzykiwań we ampułko-strzykawce, 40 mg","2 amp.-strzyk. 0,8 ml + 2 gaziki",08809593170150,2021-01-01,3 lata,"1050.1, blokery TNF - adalimumab","1944,00","2041,20","1521,25",B.32.,bezpłatny,0
13,Adalimumabum,"Imraldi, roztwór do wstrzykiwań we wstrzykiwaczu, 40 mg","2 wstrzykiwacze 0,8 ml + 2 gaziki",08809593170167,2021-01-01,3 lata,"1050.1, blokery TNF - adalimumab","1944,00","2041,20","1521,25",B.32.,bezpłatny,0
14,Afatinibum,"Giotrif, tabl. powl., 20 mg",28 szt.,05909991083397,2021-11-01,1 rok 10 miesięcy,"1127.0, Inhibitory kinaz białkowych - afatynib","7938,00","8334,90","8334,90",B.6.,bezpłatny,0
15,Afatinibum,"Giotrif, tabl. powl., 30 mg",28 szt.,05909991083434,2021-11-01,1 rok 10 miesięcy,"1127.0, Inhibitory kinaz białkowych - afatynib","7938,00","8334,90","8334,90",B.6.,bezpłatny,0
16,Afatinibum,"Giotrif, tabl. powl., 40 mg",28 szt.,05909991083465,2021-11-01,1 rok 10 miesięcy,"1127.0, Inhibitory kinaz białkowych - afatynib","7938,00","8334,90","8334,90",B.6.,bezpłatny,0
17,Aflibercept,"Zaltrap, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol. 4 ml,05909991039400,2023-01-01,3 lata,"1164.0, Leki p-nowotworowe – aflibercept","1046,36","1098,68","1098,68",B.4.,bezpłatny,0
18,Aflibercept,"Zaltrap, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol. 8 ml,05909991039462,2023-01-01,3 lata,"1164.0, Leki p-nowotworowe – aflibercept","2092,72","2197,36","2197,36",B.4.,bezpłatny,0
19,Afliberceptum,"Eylea, roztwór do wstrzykiwań, 40 mg/ml","1 fiol.a 0,1 ml",03837000137095,2022-11-01,2 lata,"1133.0, Aflibercept","2106,00","2211,30","2211,30",B.70.,bezpłatny,0
20,Agalsidasum alfa,"Replagal, koncentrat do sporządzania roztworu do infuzji, 1 mg/ml","1 fiol. 3,5 ml",05909990999514,2021-09-01,2 lata,"1191.1, Agalzydaza alfa","5940,00","6237,00","6237,00",B.104.,bezpłatny,0
21,Agalsidasum beta,"Fabrazyme, proszek do przygotowania koncentratu do sporządzania roztworu do infuzji, 35 mg",1 fiol.,05909990971213,2021-09-01,2 lata,"1191.2, Agalzydaza beta","11374,31","11943,03","11943,03",B.104.,bezpłatny,0
22,Agalsidasum beta,"Fabrazyme, proszek do przygotowania koncentratu do sporządzania roztworu do infuzji, 5 mg",1 fiol.,05909990013654,2021-09-01,2 lata,"1191.2, Agalzydaza beta","1624,91","1706,16","1706,15",B.104.,bezpłatny,0
23,Albutrepenonacogum alfa,"Idelvion, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 1000 j.m.",1 fiol. proszku + 1 fiol. rozp. + zestaw do transferu,05909991326180,2021-07-01,2 lata,"1091.1, Factor IX coagulationis humanus recombinate","8532,00","8958,60","2719,15",B.15.,bezpłatny,0
24,Albutrepenonacogum alfa,"Idelvion, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 2000 j.m.",1 fiol. proszku + 1 fiol. rozp. + zestaw do transferu,05909991326197,2021-07-01,2 lata,"1091.1, Factor IX coagulationis humanus recombinate","17064,00","17917,20","5438,30",B.15.,bezpłatny,0
25,Albutrepenonacogum alfa,"Idelvion, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 250 j.m.",1 fiol. proszku + 1 fiol. rozp. + zestaw do transferu,05909991326166,2021-07-01,2 lata,"1091.1, Factor IX coagulationis humanus recombinate","2133,00","2239,65","679,79",B.15.,bezpłatny,0
26,Albutrepenonacogum alfa,"Idelvion, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 500 j.m.",1 fiol. proszku + 1 fiol. rozp. + zestaw do transferu,05909991326173,2021-07-01,2 lata,"1091.1, Factor IX coagulationis humanus recombinate","4266,00","4479,30","1359,58",B.15.,bezpłatny,0
27,Alectinibum,"Alecensa, kaps. twarde, 150 mg",224 szt.,05902768001143,2021-07-01,2 lata,"1190.0, Alectinib","22826,62","23967,95","23967,95",B.6.,bezpłatny,0
28,Alemtuzumabum,"Lemtrada, koncetrat do sporządzania roztworu do infuzji, 12 mg",1 fiol.,05909991088156,2023-01-01,2 lata,"1160.0, Alemtuzumab","28288,31","29702,73","29702,73",B.29.,bezpłatny,0
29,Alglucosidasum alfa,"Myozyme, proszek do przygotowania koncentratu do sporządzania roztworu do infuzji, 50 mg",1 fiol.po 20 ml,05909990623853,2021-03-01,3 lata,"1052.0, Alglucosidase alfa","1892,16","1986,77","1986,77",B.22.,bezpłatny,0
30,Alirocumabum,"Praluent, roztwór do wstrzykiwań, 150 mg",2 wstrzykiwacze,05909991236618,2022-11-01,2 lata,"1181.0, Alirocumab","1778,11","1867,02","1867,02",B.101.,bezpłatny,0
31,Alirocumabum,"Praluent, roztwór do wstrzykiwań, 300 mg",1 wstrzykiwacz,05909991441166,2022-11-01,2 lata,"1181.0, Alirocumab","1778,11","1867,02","1867,02",B.101.,bezpłatny,0
32,Alpelisibum,"Piqray, tabl. powl., 150 mg",56 szt.,07613421024826,2022-11-01,2 lata,"1264.0, Alpelisyb","13500,00","14175,00","14175,00",B.9.FM.,bezpłatny,0
33,Alpelisibum,"Piqray, tabl. powl., 200 mg",28 szt.,07613421024840,2022-11-01,2 lata,"1264.0, Alpelisyb","13500,00","14175,00","14175,00",B.9.FM.,bezpłatny,0
34,Alpelisibum,"Piqray, tabl. powl., 50+200 mg",56 szt. (28 x 50 mg + 28 x 200 mg),07613421024833,2022-11-01,2 lata,"1264.0, Alpelisyb","13500,00","14175,00","14175,00",B.9.FM.,bezpłatny,0
35,Amifampridinum,"Firdapse, tabl., 10 mg",100 szt.,05055956400706,2021-11-01,2 lata,"1227.0, Amifamprydyna","8505,00","8930,25","8930,25",B.121.,bezpłatny,0
37,Anakinrum,"Kineret, roztwór do wstrzykiwań, 100 mg/0,67 ml","7 amp.-strz. po 0,67 ml",07350031442090,2021-05-01,2 lata,"1153.0, Anakinra","859,46","902,43","902,43",B.86.,bezpłatny,0
36,Anakinrum,"Kineret, roztwór do wstrzykiwań, 100 mg/0,67 ml","7 amp.-strz. po 0,67 ml z podziałką",07350031443271,<1>2022-07-01/<2>2022-05-01,2 lata,"1153.0, Anakinra","859,46","902,43","902,43",<1>B.33; <2>B.86.,bezpłatny,0
38,Apalutamidum,"Erleada, tabl. powl., 60 mg",120 szt.,05413868117059,2023-03-01,2 lata,"1240.0, Apalutamid","12380,04","12999,04","12999,04",B.56.,bezpłatny,0
39,Apomorphini hydrochloridum hemihydricum,"Dacepton, roztwór do infuzji, 5 mg/ml",5 fiol.a 20 ml,05909991247904,2022-09-01,3 lata,"1177.0, Apomorfina","756,00","793,80","793,80",B.90.,bezpłatny,0
40,Atalurenum,"Translarna, granulki do przygotowywania zawiesiny doustnej, 1000 mg",30 sasz.,05391528830510,2022-03-01,2 lata,"1239.0, Ataluren","112877,80","118521,69","118521,69",B.130.,bezpłatny,0
41,Atalurenum,"Translarna, granulki do przygotowywania zawiesiny doustnej, 125 mg",30 sasz.,05391528830497,2022-03-01,2 lata,"1239.0, Ataluren","14109,72","14815,21","14815,21",B.130.,bezpłatny,0
42,Atalurenum,"Translarna, granulki do przygotowywania zawiesiny doustnej, 250 mg",30 sasz.,05391528830503,2022-03-01,2 lata,"1239.0, Ataluren","28219,45","29630,42","29630,42",B.130.,bezpłatny,0
43,Atezolizumabum,"Tecentriq, koncentrat do sporządzania roztworu do infuzji, 1200 mg",1 fiol.a 20 ml,05902768001167,<1>2022-05-01/<2>2023-01-01,2 lata,"1183.0, Atezolizumab","19389,24","20358,70","20358,70",<1>B.5.; <2>B.6.,bezpłatny,0
44,Atezolizumabum,"Tecentriq, koncentrat do sporządzania roztworu do infuzji, 840 mg",1 fiol.a 14 ml,07613326025546,2023-01-01,2 lata,"1183.0, Atezolizumab","14499,96","15224,96","15224,96",B.6.,bezpłatny,0
45,Avatrombopag,"Doptelet, tabl. powl., 20 mg",10 szt.,07350031443110,2023-01-01,2 lata,"1268.0, Awatrombopag","2675,69","2809,47","2809,47",B.97.,bezpłatny,0
46,Avatrombopag,"Doptelet, tabl. powl., 20 mg",15 szt.,07350031443127,2023-01-01,2 lata,"1268.0, Awatrombopag","4013,54","4214,22","4214,22",B.97.,bezpłatny,0
47,Avatrombopag,"Doptelet, tabl. powl., 20 mg",30 szt.,07350031443134,2023-01-01,2 lata,"1268.0, Awatrombopag","8027,07","8428,42","8428,42",B.97.,bezpłatny,0
48,Avelumabum,"Bavencio, koncentrat do sporządzania roztworu do infuzji, 20 mg/ml",1 fiol.po 10 ml,04054839462153,<1>2021-05-01/<2>2022-11-01,2 lata,"1223.0, Awelumab","3697,92","3882,82","3882,82",<1>B.117.; <2>B.141.,bezpłatny,0
49,Axicabtagene ciloleucel,"Yescarta, dyspersja do infuzji, 0,4 x 10^8 – 2 x 10^8 komórek",1 worek po 68 ml,05909991438487,2022-05-01,2 lata,"1226.1, Aksykabtagen cyloleucel","1407665,52","1478048,80","1478048,80",B.12.,bezpłatny,0
50,Axitinibum,"Inlyta, tabl. powl., 1 mg",56 szt.,05909991004439,2022-09-01,2 lata,"1122.0, Aksytynib","2456,73","2579,57","2579,57",B.10.,bezpłatny,0
51,Axitinibum,"Inlyta, tabl. powl., 5 mg",56 szt.,05909991004460,2022-09-01,2 lata,"1122.0, Aksytynib","12281,22","12895,28","12895,28",B.10.,bezpłatny,0
52,Baricitinibum,"Olumiant, tabl. powl., 2 mg",35 szt.,03837000170740,<1>2022-01-01/<2>2022-11-01,2 lata,"1192.0, Baricytynib","5194,85","5454,59","5454,59",<1>B.33.; <2>B.124.,bezpłatny,0
53,Baricitinibum,"Olumiant, tabl. powl., 4 mg",35 szt.,03837000170825,<1>2022-01-01/<2>2022-11-01,2 lata,"1192.0, Baricytynib","5194,85","5454,59","5454,59",<1>B.33.; <2>B.124.,bezpłatny,0
54,Bedaquilinum,"Sirturo, tabl., 100 mg",188 szt.,05909991140984,2022-09-01,1 rok 6 miesięcy,"1249.0, Bedakilina","64038,60","67240,53","67240,53",B.136.FM.,bezpłatny,0
55,Benralizumab,"Fasenra, roztwór do wstrzykiwań, 30 mg",1 amp.-strz. a 1 ml,05000456031516,2022-05-01,2 lata,"1199.0, Benralizumab","9294,12","9758,83","9758,83",B.44.,bezpłatny,0
56,Benralizumab,"Fasenra, roztwór do wstrzykiwań, 30 mg",1 wstrzykiwacz a 1 ml,05000456059213,2022-05-01,2 lata,"1199.0, Benralizumab","9294,12","9758,83","9758,83",B.44.,bezpłatny,0
57,Betainum anhydricum,"Cystadane, proszek doustny, 1 g",180 g,03663502000441,2023-01-01,3 lata,"1084.0, Betaine anhydrous","1728,00","1814,40","1814,40",B.21.,bezpłatny,0
58,Bevacizumabum,"Alymsys, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,08436596260030,<1><2><3><5>2021-09-01/<4>2022-11-01,<1><3>3 lata/<2><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","496,80","521,64","521,64",<5>B.70.,bezpłatny,0
59,Bevacizumabum,"Avastin, koncentrat do sporządzania roztworu do infuzji, 100 mg/4 ml",1 fiol.po 4 ml,05909990010486,<1>2021-03-01/<2>2021-05-01/<3>2022-07-01/<4>2022-05-01/<5>2021-07-01,<1>3 lata/<2><3><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","1171,80","1230,39","521,64",<5>B.70.,bezpłatny,0
60,Bevacizumabum,"Mvasi, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,08715131021863,<1><3>2021-01-01/<2>2021-09-01/<4>2022-09-01/<5>2021-07-01,<1><3>3 lata/<2><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","541,46","568,53","521,64",<5>B.70.,bezpłatny,0
61,Bevacizumabum,"Oyavas, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,05909991451332,<1><2><3><5>2022-03-01/<4>2023-01-01,<1><3>3 lata/<2><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","456,30","479,12","479,12",<5>B.70.,bezpłatny,0
62,Bevacizumabum,"Zirabev, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,05415062349359,<1><2>2021-03-01/<3>2021-07-01,<1><2>3 lata/<3>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","545,40","572,67","521,64",<3>B.70.,bezpłatny,0
63,Bewacyzumab,"Abevmy, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,05901797710972,<1><2><3><5>2021-11-01/<4>2022-11-01,<1><3>3 lata/<2><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","475,20","498,96","498,96",<5>B.70.,bezpłatny,0
64,Bexarotenum,"Targretin, kaps. miękkie, 75 mg",100 szt.,05909990213504,2021-01-01,3 lata,"1129.0, Beksaroten","3844,80","4037,04","4037,04",B.66.,bezpłatny,0
65,Bimekizumabum,"Bimzelx, roztwór do wstrzykiwań we wstrzykiwaczu, 160 mg/ml",2 wstrzykiwacze 1 ml,05413787220618,2023-03-01,2 lata,"1273.0, Bimekizumab","8880,22","9324,23","9324,23",B.47.,bezpłatny,0
66,Binimetinib,"Mektovi, tabl. powl., 15 mg",84 szt.,03573994003922,2022-09-01,2 lata,"1214.0, Binimetynib","10753,91","11291,61","11291,61",B.59.,bezpłatny,0
67,Blinatumomabum,"Blincyto, proszek do sporządzania koncentratu roztworu do infuzji, 38,5 µg",1 fiol.prosz. + 1 fiol.roztw.stabilizującego 10ml,05909991256371,2023-01-01,2 lata,"1188.0, Blinatumomab","9984,83","10484,07","10484,07",B.65.,bezpłatny,0
68,Bosentanum,"Bopaho, tabl. powl., 125 mg",56 szt.,05909991102869,2021-09-01,3 lata,"1056.0, Bosentan","810,00","850,50","850,50",B.31.,bezpłatny,0
69,Bosentanum,"Bopaho, tabl. powl., 62,5 mg",56 szt.,05909991102807,2021-09-01,3 lata,"1056.0, Bosentan","405,00","425,25","425,25",B.31.,bezpłatny,0
70,Bosentanum,"Bosentan Sandoz GmbH, tabl. powl., 125 mg",56 szt.,05907626708004,2021-09-01,3 lata,"1056.0, Bosentan","1350,00","1417,50","850,50",B.31.,bezpłatny,0
71,Bosutinibum,"Bosulif, tabl. powl., 100 mg",28 szt.,05909991056841,2023-03-01,3 lata,"1163.0, Bosutynib","2003,51","2103,69","2103,69",B.14.,bezpłatny,0
72,Bosutinibum,"Bosulif, tabl. powl., 500 mg",28 szt.,05909991056865,2023-03-01,3 lata,"1163.0, Bosutynib","10017,54","10518,42","10518,42",B.14.,bezpłatny,0
73,Brentuximabum vedotinum,"Adcetris, proszek do sporządzania koncentratu roztworu do infuzji, 50 mg",1 fiol.,05909991004545,<1>2023-01-01/<2>2022-09-01,<1>1 rok 8 miesięcy/<2>2 lata,"1142.0, Brentuksymab vedotin","13068,00","13721,40","13721,40",<1>B.66; <2>B.77.,bezpłatny,0
74,Brigatinib,"Alunbrig, tabl. powl., 180 mg",28 szt.,07038319119956,2021-07-01,2 lata,"1209.0, Brygatynib","17567,28","18445,64","18445,64",B.6.,bezpłatny,0
75,Brigatinib,"Alunbrig, tabl. powl., 90 mg",28 szt.,07038319119963,2021-07-01,2 lata,"1209.0, Brygatynib","8783,64","9222,82","9222,82",B.6.,bezpłatny,0
76,Brigatinibum,"Alunbrig, tabl. powl., 30 mg",28 szt.,07038319119970,2021-07-01,2 lata,"1209.0, Brygatynib","2927,88","3074,27","3074,27",B.6.,bezpłatny,0
77,Brigatinibum,"Alunbrig, tabl. powl., 90+180 mg",28 szt. (7 tabl. 90 mg + 21 tabl. 180 mg),07038319119987,2021-07-01,2 lata,"1209.0, Brygatynib","17567,28","18445,64","16139,94",B.6.,bezpłatny,0
78,Brolucizumabum,"Beovu, roztwór do wstrzykiwań, 120 mg/ml","1 amp.-strzyk. 0,165 ml",07613421034993,2021-11-01,2 lata,"1235.0, Brolucizumab","2847,61","2990,00","2990,00",B.70.,bezpłatny,0
81,Cabazitaxelum,"Cabazitaxel Ever Pharma, koncentrat do sporządzania roztworu do infuzji, 10 mg/ml","1 fiol. 4,5 ml",05909991452742,2023-03-01,2 lata,"1274.0, Kabazytaksel","5443,20","5715,36","5715,36",B.56.,bezpłatny,0
80,Cabazitaxelum,"Cabazitaxel Ever Pharma, koncentrat do sporządzania roztworu do infuzji, 10 mg/ml",1 fiol. 5 ml,05909991452728,2023-03-01,2 lata,"1274.0, Kabazytaksel","6048,00","6350,40","6350,40",B.56.,bezpłatny,0
79,Cabazitaxelum,"Cabazitaxel Ever Pharma, koncentrat do sporządzania roztworu do infuzji, 10 mg/ml",1 fiol. 6 ml,05909991452735,2023-03-01,2 lata,"1274.0, Kabazytaksel","7257,60","7620,48","7620,48",B.56.,bezpłatny,0
82,Cabozantinibum,"Cabometyx, tabl. powi., 20 mg",30 szt.,03582186003947,<1>2021-05-01/<2>2022-05-01,2 lata,"1175.0, Kabozantynib","28252,80","29665,44","29665,44",<1>B.5.; <2>B.10.,bezpłatny,0
83,Cabozantinibum,"Cabometyx, tabl. powi., 40 mg",30 szt.,03582186003954,<1>2021-05-01/<2>2022-05-01,2 lata,"1175.0, Kabozantynib","28252,80","29665,44","29665,44",<1>B.5.; <2>B.10.,bezpłatny,0
84,Cabozantinibum,"Cabometyx, tabl. powi., 60 mg",30 szt.,03582186003961,<1>2021-05-01/<2>2022-05-01,2 lata,"1175.0, Kabozantynib","28252,80","29665,44","29665,44",<1>B.5.; <2>B.10.,bezpłatny,0
85,Carfilzomibum,"Kyprolis, proszek do sporządzania roztworu do infuzji, 30 mg",1 fiol.,05909991298470,2021-11-01,2 lata,"1189.0, Karfilzomib","2184,84","2294,08","2294,08",B.54.,bezpłatny,0
86,Carfilzomibum,"Kyprolis, proszek do sporządzania roztworu do infuzji, 60 mg",1 fiol.,05909991256388,2021-11-01,2 lata,"1189.0, Karfilzomib","4369,68","4588,16","4588,16",B.54.,bezpłatny,0
87,Cemiplimabum,"Libtayo, koncentrat do sporządzania roztworu do infuzji, 350 mg",1 fiol.,05909991408329,<1>2023-01-01/<2>2021-11-01,2 lata,"1231.0, Cemiplimab","18543,60","19470,78","19470,78",<1>B.6.; <2>B.125.,bezpłatny,0
88,Ceritinibum,"Zykadia, kaps. twarde, 150 mg",150 szt.,05909991220075,2022-01-01,2 lata,"1197.0, Cerytynib","21089,56","22144,04","22144,04",B.6.,bezpłatny,0
89,Certolizumabum pegol,"Cimzia, roztwór do wstrzykiwań w amp.-strz., 200 mg/ml",2 amp.-strz.,05909990734894,<1><2><3><5>2021-09-01/<4>2023-01-01,<1><2><3><4>2 lata/<5>3 lata,"1104.0, Certolizumab pegol","2926,40","3072,72","3072,72",<1>B.33.; <2>B.35.; <3>B.36.; <4>B.47.; <5>B.82.,bezpłatny,0
91,Cetuximabum,"Erbitux, roztwór do infuzji, 5 mg/ml",1 fiol.po 100 ml,05909990035946,<1>2023-03-01/<2>2022-03-01,2 lata,"1057.0, Cetuximab","3828,60","4020,03","4020,03",<1>B.4.; <2>B.52.,bezpłatny,0
90,Cetuximabum,"Erbitux, roztwór do infuzji, 5 mg/ml",1 fiol.po 20 ml,05909990035922,<1>2023-03-01/<2>2022-03-01,2 lata,"1057.0, Cetuximab","765,72","804,01","804,01",<1>B.4.; <2>B.52.,bezpłatny,0
92,Cinacalcetii hydrochloridum,"Cinacalcet Accordpharma, tabl. powl., 30 mg",28 szt.,05055565762707,2022-11-01,2 lata,"1058.0, Cinacalcet","324,00","340,20","340,20",B.39.,bezpłatny,0
93,Cinacalcetii hydrochloridum,"Cinacalcet Accordpharma, tabl. powl., 60 mg",28 szt.,05055565762714,2022-11-01,2 lata,"1058.0, Cinacalcet","648,00","680,40","680,40",B.39.,bezpłatny,0
94,Cinacalcetii hydrochloridum,"Cinacalcet Accordpharma, tabl. powl., 90 mg",28 szt.,05055565762721,2022-11-01,2 lata,"1058.0, Cinacalcet","972,00","1020,60","1020,60",B.39.,bezpłatny,0
95,Cinacalcetum,"Cinacalcet Accord, tabl. powl., 30 mg",28 szt.,05909991256654,2022-05-01,3 lata,"1058.0, Cinacalcet","324,00","340,20","340,20",B.39.,bezpłatny,0
96,Cinacalcetum,"Cinacalcet Accord, tabl. powl., 60 mg",28 szt.,05909991256685,2022-05-01,3 lata,"1058.0, Cinacalcet","648,00","680,40","680,40",B.39.,bezpłatny,0
97,Cinacalcetum,"Cinacalcet Accord, tabl. powl., 90 mg",28 szt.,05909991256715,2022-05-01,3 lata,"1058.0, Cinacalcet","972,00","1020,60","1020,60",B.39.,bezpłatny,0
98,Cinacalcetum,"Cinacalcet Aurovitas, tabl. powl., 30 mg",28 szt.,05909991417192,2022-03-01,3 lata,"1058.0, Cinacalcet","319,68","335,66","335,66",B.39.,bezpłatny,0
99,Cinacalcetum,"Cinacalcet Aurovitas, tabl. powl., 60 mg",28 szt.,05909991417253,2022-03-01,3 lata,"1058.0, Cinacalcet","639,36","671,33","671,33",B.39.,bezpłatny,0
100,Cinacalcetum,"Cinacalcet Aurovitas, tabl. powl., 90 mg",28 szt.,05909991417314,2022-03-01,3 lata,"1058.0, Cinacalcet","959,04","1006,99","1006,99",B.39.,bezpłatny,0
101,Cinacalcetum,"Mimpara, tabl. powl., 30 mg",28 szt.,05909990016297,2022-07-01,2 lata,"1058.0, Cinacalcet","417,91","438,81","340,20",B.39.,bezpłatny,0
102,Cinacalcetum,"Mimpara, tabl. powl., 60 mg",28 szt.,05909990016341,2022-07-01,2 lata,"1058.0, Cinacalcet","835,80","877,59","680,40",B.39.,bezpłatny,0
103,Cinacalcetum,"Mimpara, tabl. powl., 90 mg",28 szt.,05909990016389,2022-07-01,2 lata,"1058.0, Cinacalcet","1253,71","1316,40","1020,60",B.39.,bezpłatny,0
104,Cladribinum,"Mavenclad, tabl., 10 mg",1 szt.,04054839365331,2022-11-01,2 lata,"1200.0, Kladrybina","9345,24","9812,50","9812,50",B.29.,bezpłatny,0
105,Cladribinum,"Mavenclad, tabl., 10 mg",4 szt.,04054839365348,2022-11-01,2 lata,"1200.0, Kladrybina","37380,96","39250,01","39250,01",B.29.,bezpłatny,0
106,Cladribinum,"Mavenclad, tabl., 10 mg",6 szt.,04054839365355,2022-11-01,2 lata,"1200.0, Kladrybina","56071,44","58875,01","58875,01",B.29.,bezpłatny,0
107,Cobimetinibum,"Cotellic, tabl. powl., 20 mg",63 szt.,05902768001136,2021-03-01,3 lata,"1158.0, Kobimetynib","21600,00","22680,00","22680,00",B.59.,bezpłatny,0
108,Crizotinibum,"Xalkori, kaps. twarde, 200 mg",60 szt.,05909991004484,2022-09-01,3 lata,"1151.0, Kryzotynib","13940,42","14637,44","14637,44",B.6.,bezpłatny,0
109,Crizotinibum,"Xalkori, kaps. twarde, 250 mg",60 szt.,05909991004507,2022-09-01,3 lata,"1151.0, Kryzotynib","17425,53","18296,81","18296,81",B.6.,bezpłatny,0
