 B. Leki dostępne w ramach programu lekowego,,,,,,,,,,,,,
LP,Substancja czynna,Nazwa  postać i dawka leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Wysokość limitu finansowania,Oznaczenie załącznika zawierającego zakres wskazań objętych refundacją  wg ICD 10 ,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
12,Adalimumabum,"Humira, roztwór do wstrzykiwań, 40 mg",2 amp.-strz. + 2 gaziki nasączone alkoholem,05909990005055,<1>2020-03-01/<2><3>2019-03-01/<4>2018-09-01/<5>2019-09-01,<5>2 lata/<1><2><3><4>3 lata,"1050.1, blokery TNF - adalimumab","2455,11","2577,87","1601,32",<1>B.33.; <2>B.35.; <3>B.36.; <4>B.47.; <5>B.105.,bezpłatny,0
11,Adalimumabum,"Humira, roztwór do wstrzykiwań, 40 mg",2 wstrz. + 2 gaziki,08054083011912,2019-09-01,2 lata,"1050.1, blokery TNF - adalimumab","2455,11","2577,87","1601,32",B.105.,bezpłatny,0
13,Adalimumabum,"Hyrimoz, roztwór do wstrzykiwań w ampułko-strzykawce, 40 mg",2 amp. - strzyk. z zabezpieczeniem,07613421020897,<1>2021-03-01/<2><3><4><5>2019-03-01,3 lata,"1050.1, blokery TNF - adalimumab","1944,00","2041,20","1601,32",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
14,Adalimumabum,"Hyrimoz, roztwór do wstrzykiwań w ampułko-strzykawce, 40 mg",2 wstrzykiwacze,07613421020880,<1>2021-03-01/<2><3><4><5>2019-03-01,3 lata,"1050.1, blokery TNF - adalimumab","1944,00","2041,20","1601,32",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
15,Adalimumabum,"Idacio, roztwór do wstrzykiwań, 40 mg","1 fiol. 0,8 ml + 1 strzyk. + 1 igła + 1 nasadka + 2 gaziki",04052682034206,2020-03-01,<1><2><3><4><5>3 lata/<6>2 lata,"1050.1, blokery TNF - adalimumab","762,53","800,66","800,66",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.; <6>B.105.,bezpłatny,0
16,Adalimumabum,"Idacio, roztwór do wstrzykiwań w ampułko-strzykawce, 40 mg","2 amp.-strzyk. 0,8 ml + 2 gaziki",04052682034213,2020-03-01,<1><2><3><4><5>3 lata/<6>2 lata,"1050.1, blokery TNF - adalimumab","1525,07","1601,32","1601,32",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.; <6>B.105.,bezpłatny,0
17,Adalimumabum,"Idacio, roztwór do wstrzykiwań we wstrzykiwaczu, 40 mg","2 wstrzykiwacze 0,8 ml + 2 gaziki",04052682034220,2020-03-01,<1><2><3><4><5>3 lata/<6>2 lata,"1050.1, blokery TNF - adalimumab","1525,07","1601,32","1601,32",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.; <6>B.105.,bezpłatny,0
18,Adalimumabum,"Imraldi, roztwór do wstrzykiwań we ampułko-strzykawce, 40 mg","2 amp.-strzyk. 0,8 ml + 2 gaziki",08809593170150,<1>2021-01-01/<2><3><4><5>2019-01-01,3 lata,"1050.1, blokery TNF - adalimumab","1944,00","2041,20","1601,32",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
19,Adalimumabum,"Imraldi, roztwór do wstrzykiwań we wstrzykiwaczu, 40 mg","2 wstrzykiwacze 0,8 ml + 2 gaziki",08809593170167,<1>2021-01-01/<2><3><4><5>2019-01-01,3 lata,"1050.1, blokery TNF - adalimumab","1944,00","2041,20","1601,32",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
20,Adefoviri dipivoxilum,"Hepsera, tabl., 10 mg",30 tabl.,05909990009596,2019-07-01,3 lata,"1051.1, analogi nukleozydowe/nukleotydowe inne niż lamiwudyna - adefowir","934,20","980,91","980,91",B.1.,bezpłatny,0
21,Afatinib,"Giotrif, tabl. powl., 20 mg",28 tabl.,05909991083397,2018-11-01,3 lata,"1127.0, Inhibitory kinaz białkowych - afatynib","7938,00","8334,90","8334,90",B.6.,bezpłatny,0
22,Afatinib,"Giotrif, tabl. powl., 30 mg",28 tabl.,05909991083434,2018-11-01,3 lata,"1127.0, Inhibitory kinaz białkowych - afatynib","7938,00","8334,90","8334,90",B.6.,bezpłatny,0
23,Afatinib,"Giotrif, tabl. powl., 40 mg",28 tabl.,05909991083465,2018-11-01,3 lata,"1127.0, Inhibitory kinaz białkowych - afatynib","7938,00","8334,90","8334,90",B.6.,bezpłatny,0
24,Aflibercept,"Eylea, roztwór do wstrzykiwań, 40 mg/ml","1 fiol.a 0,1 ml",03837000137095,2019-05-01,3 lata,"1133.0, Aflibercept","2808,00","2948,40","2948,40",B.70.,bezpłatny,0
25,Aflibercept,"Zaltrap, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol. 4 ml,05909991039400,2019-07-01,2 lata,"1164.0, Leki p-nowotworowe – aflibercept","1395,14","1464,90","1464,90",B.4.,bezpłatny,0
26,Aflibercept,"Zaltrap, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol. 8 ml,05909991039462,2019-07-01,2 lata,"1164.0, Leki p-nowotworowe – aflibercept","2790,29","2929,80","2929,80",B.4.,bezpłatny,0
27,Agalsidasum alfa,"Replagal, koncentrat do sporządzania roztworu do infuzji, 1 mg/ml","1 fiol. 3,5 ml",05909990999514,2019-09-01,2 lata,"1191.1, Agalzydaza alfa","6080,40","6384,42","6384,42",B.104.,bezpłatny,0
28,Agalsidasum beta,"Fabrazyme, proszek do przygotowania koncentratu do sporządzania roztworu do infuzji, 35 mg",1 fiol.,05909990971213,2019-09-01,2 lata,"1191.2, Agalzydaza beta","11980,03","12579,03","12579,00",B.104.,bezpłatny,0
29,Agalsidasum beta,"Fabrazyme, proszek do przygotowania koncentratu do sporządzania roztworu do infuzji, 5 mg",1 fiol.,05909990013654,2019-09-01,2 lata,"1191.2, Agalzydaza beta","1711,43","1797,00","1797,00",B.104.,bezpłatny,0
30,Alectinibum,"Alecensa, kaps. twarde, 150 mg",224 szt.,05902768001143,2019-07-01,2 lata,"1190.0, Alectinib","22826,62","23967,95","23967,95",B.6.,bezpłatny,0
31,Alemtuzumabum,"Lemtrada, koncetrat do sporządzania roztworu do infuzji, 12 mg",1 fiol.,05909991088156,2021-01-01,2 lata,"1160.0, Alemtuzumab","30038,04","31539,94","31539,94",B.46.,bezpłatny,0
32,Alglucosidasum alfa,"Myozyme, proszek do przygotowania koncentratu do sporządzania roztworu do infuzji, 50 mg",1 fiol.po 20 ml,05909990623853,2021-03-01,3 lata,"1052.0, Alglucosidase alfa","1892,16","1986,77","1986,77",B.22.,bezpłatny,0
33,Alirocumabum,"Praluent, roztwór do wstrzykiwań, 150 mg",2 wstrzykiwacze,05909991236618,2020-11-01,2 lata,"1181.0, Alirocumab","1778,11","1867,02","1867,02",B.101.,bezpłatny,0
34,Anakinrum,"Kineret, roztwór do wstrzykiwań, 100 mg/0,67 ml","7 amp.-strz. po 0,67 ml",07350031442090,2019-05-01,2 lata,"1153.0, Anakinra","859,46","902,43","902,43",B.86.,bezpłatny,0
35,Apomorphini hydrochloridum hemihydricum,"Dacepton, roztwór do infuzji, 5 mg/ml",5 fiol.a 20 ml,05909991247904,2020-09-01,2 lata,"1177.0, Apomorfina","846,72","889,06","889,06",B.90.,bezpłatny,0
36,Atezolizumabum,"Tecentriq, koncentrat do sporządzania roztworu do infuzji, 1200 mg",1 fiol.a 20 ml,05902768001167,2021-01-01,2 lata,"1183.0, Atezolizumab","19389,24","20358,70","20358,70",B.6.,bezpłatny,0
37,Axitinibum,"Inlyta, tabl. powl., 1 mg",56 szt.,05909991004439,2021-03-01,1 rok 6 miesięcy,"1122.0, Aksytynib","3275,64","3439,42","3439,42",B.10.,bezpłatny,0
38,Axitinibum,"Inlyta, tabl. powl., 5 mg",56 szt.,05909991004460,2021-03-01,1 rok 6 miesięcy,"1122.0, Aksytynib","16374,96","17193,71","17193,71",B.10.,bezpłatny,0
39,Baricitinibum,"Olumiant, tabl. powl., 4 mg",35 szt.,03837000170825,2019-09-01,2 lata,"1192.0, Baricytynib","5194,85","5454,59","5454,59",B.33.,bezpłatny,0
40,Benralizumab,"Fasenra, roztwór do wstrzykiwań w ampułko-strzykawce, 30 mg",1 amp.-strz. a 1 ml,05000456031516,2019-11-01,2 lata,"1199.0, Benralizumab","9828,00","10319,40","10319,40",B.44.,bezpłatny,0
41,Betainum anhydricum,"Cystadane, proszek doustny, 1 g",180 g,05909990031900,2020-01-01,3 lata,"1084.0, Betaine anhydrous","1728,00","1814,40","1814,40",B.21.,bezpłatny,0
42,Bevacizumabum,"Avastin, koncentrat do sporządzania roztworu do infuzji, 100 mg/4 ml",1 fiol.po 4 ml,05909990010486,<1>2019-07-01/<2>2021-03-01,3 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","1171,80","1230,39","658,26",<1>B.4.; <2>B.50.,bezpłatny,0
43,Bevacizumabum,"Avastin, koncentrat do sporządzania roztworu do infuzji, 400 mg/16 ml",1 fiol.po 16 ml,05909990010493,<1>2019-07-01/<2>2021-03-01,3 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","4687,20","4921,56","2633,05",<1>B.4.; <2>B.50.,bezpłatny,0
45,Bevacizumabum,"Mvasi, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 16 ml,08715131021870,2021-01-01,3 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","2507,67","2633,05","2633,05",B.4.; B.50.,bezpłatny,0
44,Bevacizumabum,"Mvasi, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,08715131021863,2021-01-01,3 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","626,92","658,27","658,26",B.4.; B.50.,bezpłatny,0
46,Bevacizumabum,"Zirabev, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 16 ml,05415062349342,2021-03-01,3 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","2181,60","2290,68","2290,68",B.4.; B.50.,bezpłatny,0
47,Bevacizumabum,"Zirabev, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,05415062349359,2021-03-01,3 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","545,40","572,67","572,67",B.4.; B.50.,bezpłatny,0
48,Bexarotenum,"Targretin, kaps. miękkie, 75 mg",100 szt.,05909990213504,2021-01-01,3 lata,"1129.0, Beksaroten","3844,80","4037,04","4037,04",B.66.,bezpłatny,0
49,Binimetinib,"Mektovi, tabl. powl., 15 mg",84 szt.,03573994003922,2020-09-01,2 lata,"1214.0, Binimetynib","11688,98","12273,43","12273,43",B.59.,bezpłatny,0
50,Blinatumomabum,"Blincyto, proszek do sporządzania koncentratu roztworu do infuzji, 38,5 µg",1 fiol.prosz. + 1 fiol.roztw.stabilizującego 10ml,05909991256371,2021-01-01,2 lata,"1188.0, Blinatumomab","9984,83","10484,07","10484,07",B.65.,bezpłatny,0
51,Bosentanum,"Bopaho, tabl. powl., 125 mg",56 tabl.,05909991102869,2018-09-01,3 lata,"1056.0, Bosentan","1404,00","1474,20","1474,20",B.31.,bezpłatny,0
52,Bosentanum,"Bopaho, tabl. powl., 62,5 mg",56 tabl.,05909991102807,2018-09-01,3 lata,"1056.0, Bosentan","702,00","737,10","737,10",B.31.,bezpłatny,0
53,Bosentanum,"Bosentan Sandoz GmbH, tabletki powlekane, 125 mg",56 tabl.,05907626708004,2018-09-01,3 lata,"1056.0, Bosentan","1404,00","1474,20","1474,20",B.31.,bezpłatny,0
54,Bosutinibum,"Bosulif, tabletki powlekane, 100 mg",28 tabl.,05909991056841,2019-07-01,2 lata,"1163.0, Bosutynib","2671,35","2804,92","2804,92",B.14.,bezpłatny,0
55,Bosutinibum,"Bosulif, tabletki powlekane, 500 mg",28 tabl.,05909991056865,2019-07-01,2 lata,"1163.0, Bosutynib","13356,77","14024,61","14024,61",B.14.,bezpłatny,0
56,Brentuximabum vedotinum,"Adcetris, proszek do sporządzania koncentratu roztworu do infuzji, 50 mg",1 fiol.,05909991004545,2020-09-01,2 lata,"1142.0, Brentuksymab vedotin","13100,40","13755,42","13755,42",B.66; B.77.,bezpłatny,0
57,Brigatinib,"Alunbrig, tabl. powl., 180 mg",28 szt.,07038319119956,2020-09-01,2 lata,"1209.0, Brygatynib","20840,07","21882,07","21882,07",B.6.,bezpłatny,0
58,Brigatinib,"Alunbrig, tabl. powl., 90 mg",28 szt.,07038319119963,2020-09-01,2 lata,"1209.0, Brygatynib","10420,03","10941,03","10941,03",B.6.,bezpłatny,0
59,Brigatinib,"Alunbrig, tabl. powl., 90 mg",7 szt.,07038319120112,2020-09-01,2 lata,"1209.0, Brygatynib","5210,02","5470,52","5470,52",B.6.,bezpłatny,0
60,Cabozantinibum,"Cabometyx, tabl. powi., 20 mg",30 szt.,03582186003947,2020-09-01,2 lata,"1175.0, Kabozantynib","28252,80","29665,44","14832,72",B.10.,bezpłatny,0
61,Cabozantinibum,"Cabometyx, tabl. powi., 40 mg",30 szt.,03582186003954,2020-09-01,2 lata,"1175.0, Kabozantynib","28252,80","29665,44","29665,44",B.10.,bezpłatny,0
62,Cabozantinibum,"Cabometyx, tabl. powi., 60 mg",30 szt.,03582186003961,2020-09-01,2 lata,"1175.0, Kabozantynib","28252,80","29665,44","29665,44",B.10.,bezpłatny,0
63,Ceritinibum,"Zykadia, kaps. twarde, 150 mg",150 szt.,05909991220075,2020-01-01,2 lata,"1197.0, Cerytynib","21089,56","22144,04","22144,04",B.6.,bezpłatny,0
64,Certolizumabum pegol,"Cimzia, roztwór do wstrzykiwań w amp.-strz., 200 mg/ml",2 amp.-strz.,05909990734894,<1><2><3><5>2019-09-01/<4>2021-01-01,<1>3 lata/<2><3><4><5>2 lata,"1104.0, Certolizumab pegol","3018,06","3168,96","3168,96",<1>B.33.; <2>B.35.; <3>B.36.; <4>B.47.; <5>B.82.,bezpłatny,0
66,Cetuximabum,"Erbitux, roztwór do infuzji, 5 mg/ml",1 fiol.po 100 ml,05909990035946,<1>2021-03-01/<2>2020-03-01,2 lata,"1057.0, Cetuximab","3828,60","4020,03","4020,03",<1>B.4.; <2>B.52.,bezpłatny,0
65,Cetuximabum,"Erbitux, roztwór do infuzji, 5 mg/ml",1 fiol.po 20 ml,05909990035922,<1>2021-03-01/<2>2020-03-01,2 lata,"1057.0, Cetuximab","765,72","804,01","804,01",<1>B.4.; <2>B.52.,bezpłatny,0
67,Cinacalcetii hydrochloridum,"Cinacalcet Mylan, tabletki powlekane, 30 mg",28 tabl.,05902020926887,2018-05-01,3 lata,"1058.0, Cinacalcet","324,00","340,20","340,20",B.39.,bezpłatny,0
68,Cinacalcetii hydrochloridum,"Cinacalcet Mylan, tabletki powlekane, 60 mg",28 tabl.,05902020926894,2018-05-01,3 lata,"1058.0, Cinacalcet","594,00","623,70","623,70",B.39.,bezpłatny,0
69,Cinacalcetum,"Cinacalcet Accord, tabl. powl., 30 mg",28 szt.,05909991256654,2019-05-01,3 lata,"1058.0, Cinacalcet","324,00","340,20","340,20",B.39.,bezpłatny,0
70,Cinacalcetum,"Cinacalcet Accord, tabl. powl., 60 mg",28 szt.,05909991256685,2019-05-01,3 lata,"1058.0, Cinacalcet","648,00","680,40","680,40",B.39.,bezpłatny,0
71,Cinacalcetum,"Cinacalcet Accord, tabl. powl., 90 mg",28 szt.,05909991256715,2019-05-01,3 lata,"1058.0, Cinacalcet","972,00","1020,60","1020,60",B.39.,bezpłatny,0
72,Cinacalcetum,"Mimpara, tabl. powl., 30 mg",28 szt.,05909990016297,2019-07-01,3 lata,"1058.0, Cinacalcet","629,05","660,50","340,20",B.39.,bezpłatny,0
73,Cinacalcetum,"Mimpara, tabl. powl., 60 mg",28 szt.,05909990016341,2019-07-01,3 lata,"1058.0, Cinacalcet","1201,54","1261,62","680,40",B.39.,bezpłatny,0
74,Cinacalcetum,"Mimpara, tabl. powl., 90 mg",28 szt.,05909990016389,2019-07-01,3 lata,"1058.0, Cinacalcet","1778,11","1867,02","1020,60",B.39.,bezpłatny,0
75,Cladribinum,"Mavenclad, tabl., 10 mg",1 szt.,04054839365331,2019-11-01,2 lata,"1200.0, Kladrybina","9876,60","10370,43","10370,43",B.46.,bezpłatny,0
76,Cladribinum,"Mavenclad, tabl., 10 mg",4 szt.,04054839365348,2019-11-01,2 lata,"1200.0, Kladrybina","39506,40","41481,72","41481,72",B.46.,bezpłatny,0
77,Cladribinum,"Mavenclad, tabl., 10 mg",6 szt.,04054839365355,2019-11-01,2 lata,"1200.0, Kladrybina","59259,60","62222,58","62222,58",B.46.,bezpłatny,0
78,Cobimetinibum,"Cotellic, tabl. powl., 20 mg",63 szt.,05902768001136,2021-03-01,3 lata,"1158.0, Kobimetynib","21600,00","22680,00","22680,00",B.59.,bezpłatny,0
79,Crizotinibum,"Xalkori, kaps. twarde, 200 mg",60 szt.,05909991004484,2021-01-01,1 rok 8 miesięcy,"1151.0, Kryzotynib","18587,23","19516,59","19516,59",B.6.,bezpłatny,0
80,Crizotinibum,"Xalkori, kaps. twarde, 250 mg",60 szt.,05909991004507,2021-01-01,1 rok 8 miesięcy,"1151.0, Kryzotynib","23234,04","24395,74","24395,74",B.6.,bezpłatny,0
82,Dabrafenibum,"Tafinlar, kaps. twarde, 50 mg",120 szt.,05909991078591,2021-01-01,2 lata,"1136.0, Inhibitory kinaz białkowych - dabrafenib","17794,08","18683,78","18683,78",B.59.,bezpłatny,0
81,Dabrafenibum,"Tafinlar, kaps. twarde, 50 mg",28 szt.,05909991078584,2021-01-01,2 lata,"1136.0, Inhibitory kinaz białkowych - dabrafenib","4151,95","4359,55","4359,55",B.59.,bezpłatny,0
84,Dabrafenibum,"Tafinlar, kaps. twarde, 75 mg",120 szt.,05909991078645,2021-01-01,2 lata,"1136.0, Inhibitory kinaz białkowych - dabrafenib","26691,12","28025,68","28025,68",B.59.,bezpłatny,0
83,Dabrafenibum,"Tafinlar, kaps. twarde, 75 mg",28 szt.,05909991078607,2021-01-01,2 lata,"1136.0, Inhibitory kinaz białkowych - dabrafenib","6227,93","6539,33","6539,33",B.59.,bezpłatny,0
86,Daratumumabum,"Darzalex, koncentrat do sporządzania roztworu do infuzji, 20 mg/ml",1 fiol. 20 ml,05909991275235,2019-07-01,2 lata,"1187.0, Daratumumab","7589,81","7969,30","7969,28",B.54.,bezpłatny,0
85,Daratumumabum,"Darzalex, koncentrat do sporządzania roztworu do infuzji, 20 mg/ml",1 fiol. 5 ml,05909991275228,2019-07-01,2 lata,"1187.0, Daratumumab","1897,45","1992,32","1992,32",B.54.,bezpłatny,0
87,Darbepoetinum alfa,"Aranesp, roztwór do wstrzykiwań, 20 μg/0,5 ml","1 amp.-strz.po 0,5 ml",05909990738779,2019-07-01,3 lata,"1043.1, czynniki stymulujące erytropoezę - darbepoetyna","136,08","142,88","142,88",B.37.,bezpłatny,0
88,Darbepoetinum alfa,"Aranesp, roztwór do wstrzykiwań, 30 μg/0,3 ml","1 amp.-strz.po 0,3 ml",05909990738793,2019-07-01,3 lata,"1043.1, czynniki stymulujące erytropoezę - darbepoetyna","204,12","214,33","214,33",B.37.,bezpłatny,0
89,Darbepoetinum alfa,"Aranesp, roztwór do wstrzykiwań, 40 μg/0,4 ml","1 amp.-strz.po 0,4 ml",05909990738847,2019-07-01,3 lata,"1043.1, czynniki stymulujące erytropoezę - darbepoetyna","272,16","285,77","285,77",B.37.,bezpłatny,0
90,Darbepoetinum alfa,"Aranesp, roztwór do wstrzykiwań, 50 μg/0,5 ml","1 amp.-strz.po 0,5 ml",05909990738861,2019-07-01,3 lata,"1043.1, czynniki stymulujące erytropoezę - darbepoetyna","340,20","357,21","357,21",B.37.,bezpłatny,0
91,Darbepoetinum alfa,"Aranesp, roztwór do wstrzykiwań, 60 μg/0,3 ml","1 amp.-strz.po 0,3 ml",05909990738885,2019-07-01,3 lata,"1043.1, czynniki stymulujące erytropoezę - darbepoetyna","408,24","428,65","428,65",B.37.,bezpłatny,0
92,Dazatynib,"Sprycel, tabl. powl., 100 mg",30 szt.,05909990671601,<1>2019-11-01/<2>2018-11-01,3 lata,"1059.0, Dazatynib","14009,68","14710,16","14710,16",<1>B.14.; <2>B.65.,bezpłatny,0
93,Dazatynib,"Sprycel, tabl. powl., 140 mg",30 szt.,05909990818655,<1>2019-11-01/<2>2018-11-01,3 lata,"1059.0, Dazatynib","19613,56","20594,24","20594,24",<1>B.14.; <2>B.65.,bezpłatny,0
94,Dazatynib,"Sprycel, tabl. powl., 20 mg",60 szt.,05909990621323,<1>2019-11-01/<2>2018-11-01,3 lata,"1059.0, Dazatynib","5603,87","5884,06","5884,06",<1>B.14.; <2>B.65.,bezpłatny,0
95,Dazatynib,"Sprycel, tabl. powl., 50 mg",60 szt.,05909990621354,<1>2019-11-01/<2>2018-11-01,3 lata,"1059.0, Dazatynib","14009,68","14710,16","14710,16",<1>B.14.; <2>B.65.,bezpłatny,0
96,Dazatynib,"Sprycel, tabl. powl., 80 mg",30 szt.,05909990818631,<1>2019-11-01/<2>2018-11-01,3 lata,"1059.0, Dazatynib","11207,74","11768,13","11768,13",<1>B.14.; <2>B.65.,bezpłatny,0
97,Dimethylis fumaras,"Tecfidera, kaps. dojel. twarde, 120 mg",14 kaps.,00646520415445,2020-09-01,2 lata,"1145.0, Fumaran dimetylu","1021,68","1072,76","1072,76",B.29.,bezpłatny,0
98,Dimethylis fumaras,"Tecfidera, kaps. dojel. twarde, 240 mg",56 kaps.,00646520415452,2020-09-01,2 lata,"1145.0, Fumaran dimetylu","4086,72","4291,06","4291,06",B.29.,bezpłatny,0
99,Dinutuximab beta,"Qarziba, koncentrat do sporządzania roztworu do infuzji, 4,5 mg/ml","1 fiol.po 4,5 ml",05060146291736,2020-09-01,2 lata,"1208.0, Dinutuksymab beta","39580,62","41559,65","41559,65",B.110.,bezpłatny,0
100,Durvalumabum,"Imfinzi, koncentrat do sporządzania roztworu do infuzji, 50 mg/ml",1 fiol.a 10 ml,05000456031493,2021-01-01,2 lata,"1218.0, Durwalumab","9828,00","10319,40","10319,40",B.6.,bezpłatny,0
101,Durvalumabum,"Imfinzi, koncentrat do sporządzania roztworu do infuzji, 50 mg/ml","1 fiol.a 2,4 ml",05000456031486,2021-01-01,2 lata,"1218.0, Durwalumab","2358,72","2476,66","2476,66",B.6.,bezpłatny,0
102,Eculizumabum,"Soliris, koncentrat do sporządzania roztworu do infuzji, 300 mg",1 fiol. 30 ml,05909990643776,<1>2020-01-01/<2>2019-05-01,2 lata,"1171.0, Ekulizumab","18361,08","19279,13","19279,13",<1>B.95.; <2>B.96.,bezpłatny,0
103,Efmoroctocogum alfa,"Elocta, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 1000 IU",1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania,05909991246488,2020-01-01,2 lata,"1090.1, Factor VIII coagulationis humanus recombinate","2883,60","3027,78","3027,78",B.15.,bezpłatny,0
104,Efmoroctocogum alfa,"Elocta, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 1500 IU",1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania,05909991246495,2020-01-01,2 lata,"1090.1, Factor VIII coagulationis humanus recombinate","4325,40","4541,67","4541,67",B.15.,bezpłatny,0
105,Efmoroctocogum alfa,"Elocta, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 2000 IU",1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania,05909991246501,2020-01-01,2 lata,"1090.1, Factor VIII coagulationis humanus recombinate","5767,20","6055,56","6055,56",B.15.,bezpłatny,0
106,Efmoroctocogum alfa,"Elocta, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 250 IU",1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania,05909991246457,2020-01-01,2 lata,"1090.1, Factor VIII coagulationis humanus recombinate","720,90","756,95","756,95",B.15.,bezpłatny,0
