 A 1. Leki refundowane dostępne w aptece na receptę w całym zakresie zarejestrowanych wskazań i przeznaczeń lub we wskazaniu określonym stanem klinicznym,,,,,,,,,,,,,,,
LP,Substancja czynna,Nazwa  postać i dawka,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Cena detaliczna,Wysokość limitu finansowania,Zakres wskazań objętych refundacją,Zakres wskazań pozarejestracyjnych objętych refundacją,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
18,Acidum alendronicum,"Alendran 70, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909990072156,2019-01-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","8,38","8,80","11,93","11,90",Osteoporoza,,30%,"3,60"
19,Acidum alendronicum,"Alendrogen, tabl., 70 mg",4 szt.,05909990623112,2019-01-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","6,59","6,92","10,05","10,05",Osteoporoza,,30%,"3,02"
20,Acidum alendronicum,"Alendronat Bluefish, tabl., 70 mg",4 szt.,05909990737673,2019-09-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","5,40","5,67","8,80","8,80",Osteoporoza,,30%,"2,64"
21,Acidum alendronicum,"Alendronic Acid Genoptim, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909990675302,2019-07-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","5,94","6,24","9,37","9,37",Osteoporoza,,30%,"2,81"
22,Acidum alendronicum,"Ostemax 70 comfort, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909991081713,2019-01-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","8,46","8,88","12,01","11,90",Osteoporoza,,30%,"3,68"
23,Acidum alendronicum,"Ostenil 70, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909991087418,2019-01-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","8,59","9,02","12,15","11,90",Osteoporoza,,30%,"3,82"
24,Acidum alendronicum,"Ostenil 70, tabl., 70 mg",6 szt. (1 blist.po 6 szt.),05909991087425,2019-01-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","12,91","13,56","17,69","17,69",Osteoporoza,,30%,"5,31"
25,Acidum alendronicum,"Ostolek, tabl. powl., 70 mg",4 szt. (1 blist.po 4 szt.),05909991032517,2019-01-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","8,35","8,77","11,90","11,90",Osteoporoza,,30%,"3,57"
26,Acidum folicum,"Acidum folicum Richter, tabl., 15 mg",30 szt. (1 blist.po 30 szt.),05909990109319,"2019-01-01  - dla kolumny M, <1>2019-05-01/<2>2019-11-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","27.0, Kwas foliowy i pochodne - kwas foliowy","4,00","4,20","5,88","5,88",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,<1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> łuszczyca - u pacjentów leczonych metotreksatem,ryczałt,"5,88"
27,Acidum folicum,"Acidum folicum Richter, tabl., 5 mg",30 szt. (1 blist.po 30 szt.),05909990109210,"2019-01-01  - dla kolumny M, <1>2019-05-01/<2>2019-11-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","27.0, Kwas foliowy i pochodne - kwas foliowy","2,81","2,95","3,51","1,96",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,<1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> łuszczyca - u pacjentów leczonych metotreksatem,ryczałt,"3,51"
28,Acidum mycophenolicum,"Marelim, tabletki dojelitowe, 180 mg",120 tabl.,05909991227272,"2017-05-01  - dla kolumny M, 2020-09-01  - dla kolumny N","5 lat - dla kolumny M, 3 lata - dla kolumny N","134.0, Leki przeciwnowotworowe i immunomodulujące - leki immunosupresyjne - kwas mykofenolowy i jego pochodne","98,28","103,19","115,90","97,98",Stan po przeszczepie narządu unaczynionego bądź szpiku,"stan po przeszczepie kończyny, rogówki, tkanek lub komórek",ryczałt,"21,12"
29,Acidum mycophenolicum,"Marelim, tabletki dojelitowe, 360 mg",120 tabl.,05909991227319,"2017-05-01  - dla kolumny M, 2020-09-01  - dla kolumny N","5 lat - dla kolumny M, 3 lata - dla kolumny N","134.0, Leki przeciwnowotworowe i immunomodulujące - leki immunosupresyjne - kwas mykofenolowy i jego pochodne","206,28","216,59","233,30","195,96",Stan po przeszczepie narządu unaczynionego bądź szpiku,"stan po przeszczepie kończyny, rogówki, tkanek lub komórek",ryczałt,"40,54"
30,Acidum tranexamicum,"Exacyl, roztwór doustny, 1 g/10 ml",5 amp.po 10 ml,05909990036011,2019-01-01,3 lata,"24.3, Leki antyfibrynolityczne - kwas traneksamowy do stosowania doustnego - postacie płynne","10,09","10,59","14,21","14,21",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"7,11"
31,Acidum tranexamicum,"Exacyl, tabl. powl., 500 mg",20 szt. (2 blist.po 10 szt.),05909990035915,2019-01-01,3 lata,"24.2, Leki antyfibrynolityczne - kwas traneksamowy do stosowania doustnego - postacie stałe","10,80","11,34","15,11","15,11",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"7,56"
32,Acidum tranexamicum,"Tranexamic acid Accord, roztwór do wstrzykiwań, 100 mg/ml",5 amp.po 5 ml,05909991313692,2018-05-01,3 lata,"24.1, Leki antyfibrynolityczne - kwas traneksamowy do stosowania pozajelitowego","7,29","7,65","10,44","10,44",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"5,22"
33,Acidum ursodeoxycholicum,"Proursan, kaps., 250 mg",90 szt.,05909991203924,"2019-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","80,89","84,93","95,76","77,26",Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,cholestaza ciężarnych,30%,"41,68"
34,Acidum ursodeoxycholicum,"Ursocam, tabl., 250 mg",100 szt.,05909990414741,"2020-09-01  - dla kolumny M, 2020-11-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","68,01","71,41","82,94","82,94",Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,cholestaza ciężarnych,30%,"24,88"
35,Acidum ursodeoxycholicum,"Ursocam, tabl., 250 mg",90 szt.,05909991314675,"2019-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","61,13","64,19","75,03","75,03",Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,cholestaza ciężarnych,30%,"22,51"
36,Acidum ursodeoxycholicum,"Ursopol, kaps. twarde, 300 mg",50 szt.,05909990798223,"2020-01-01  - dla kolumny M, 2020-11-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","39,96","41,96","50,68","50,68",Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,cholestaza ciężarnych,30%,"15,20"
37,Acidum ursodeoxycholicum,"Ursoxyn, kaps. twarde, 250 mg",100 szt.,05909991325794,"2019-09-01  - dla kolumny M, 2020-11-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","66,96","70,31","81,84","81,84",Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,cholestaza ciężarnych,30%,"24,55"
38,Acidum ursodeoxycholicum,"Ursoxyn, kaps. twarde, 250 mg",50 szt.,05909991325770,"2019-09-01  - dla kolumny M, 2020-11-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","33,48","35,15","42,92","42,92",Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,cholestaza ciężarnych,30%,"12,88"
39,Acidum valproicum,"Convulex, kaps. miękkie, 500 mg",100 szt.,05909990023813,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","34,78","36,52","44,49","44,49",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"3,56"
40,Acidum valproicum,"Convulex, kaps. miękkie, 500 mg",100 szt.,05909990023813,2019-01-01,3 lata,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","34,78","36,52","44,49","44,49",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"0,00"
41,Acidum valproicum,"Convulex 150, kaps. miękkie, 150 mg",100 szt.,05909990244317,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","14,04","14,74","18,43","13,35",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"8,28"
42,Acidum valproicum,"Convulex 150, kaps. miękkie, 150 mg",100 szt.,05909990244317,2019-01-01,3 lata,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","14,04","14,74","18,43","13,35",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"5,08"
43,Acidum valproicum,"Convulex 300, kaps. miękkie, 300 mg",100 szt.,05909990244416,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","20,94","21,99","27,78","26,69",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"4,29"
44,Acidum valproicum,"Convulex 300, kaps. miękkie, 300 mg",100 szt.,05909990244416,2019-01-01,3 lata,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","20,94","21,99","27,78","26,69",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"1,09"
45,Acidum valproicum + Natrii valproas,"Depakine Chrono 300, tabl. powl. o przedłużonym uwalnianiu, 87+200 mg",30 szt. (blist.),05909990694327,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","12,26","12,87","16,49","13,64",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"6,05"
46,Acidum valproicum + Natrii valproas,"Depakine Chrono 300, tabl. powl. o przedłużonym uwalnianiu, 87+200 mg",30 szt. (blist.),05909990694327,2019-01-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","12,26","12,87","16,49","13,64",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"2,85"
47,Acidum valproicum + Natrii valproas,"Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg",30 szt.,05909991210328,"2019-05-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","15,61","16,39","21,43","21,43",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"3,20"
48,Acidum valproicum + Natrii valproas,"Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg",30 szt.,05909991210328,2019-05-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","15,61","16,39","21,43","21,43",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"0,00"
49,Acidum valproicum + Natrii valproas,"Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg",30 szt.,05909991229610,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","15,93","16,73","21,77","21,77",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"3,20"
50,Acidum valproicum + Natrii valproas,"Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg",30 szt.,05909991229610,2019-01-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","15,93","16,73","21,77","21,77",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"0,00"
51,Acidum valproicum + Natrii valproas,"Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg",30 szt. (blist.),05909990694426,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","16,85","17,69","22,73","22,73",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"3,20"
52,Acidum valproicum + Natrii valproas,"Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg",30 szt. (blist.),05909990694426,2019-01-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","16,85","17,69","22,73","22,73",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"0,00"
53,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 100, granulat o przedłużonym uwalnianiu, 29,03+66,66 mg",30 sasz.po 303 mg,05909990425693,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","5,02","5,27","6,69","4,55",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"5,34"
54,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 100, granulat o przedłużonym uwalnianiu, 29,03+66,66 mg",30 sasz.po 303 mg,05909990425693,2019-01-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","5,02","5,27","6,69","4,55",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"2,14"
55,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 1000, granulat o przedłużonym uwalnianiu, 290,27+666,60 mg",30 sasz.po 3030 mg,05909990425754,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","42,23","44,34","52,15","45,46",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"9,89"
56,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 1000, granulat o przedłużonym uwalnianiu, 290,27+666,60 mg",30 sasz.po 3030 mg,05909990425754,2019-01-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","42,23","44,34","52,15","45,46",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"6,69"
57,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 250, granulat o przedłużonym uwalnianiu, 72,61+166,76 mg",30 sasz.po 758 mg,05909990425709,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","12,56","13,19","16,34","11,37",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"8,17"
58,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 250, granulat o przedłużonym uwalnianiu, 72,61+166,76 mg",30 sasz.po 758 mg,05909990425709,2019-01-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","12,56","13,19","16,34","11,37",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"4,97"
59,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 500, granulat o przedłużonym uwalnianiu, 145,14+333,30 mg",30 sasz.po 1515 mg,05909990425730,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","21,11","22,17","27,21","22,73",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"7,68"
60,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 500, granulat o przedłużonym uwalnianiu, 145,14+333,30 mg",30 sasz.po 1515 mg,05909990425730,2019-01-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","21,11","22,17","27,21","22,73",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"4,48"
61,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 750, granulat o przedłużonym uwalnianiu, 217,75+500,06 mg",30 sasz.po 2273 mg,05909990425747,"2019-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","31,59","33,17","39,65","34,10",Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"8,75"
62,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 750, granulat o przedłużonym uwalnianiu, 217,75+500,06 mg",30 sasz.po 2273 mg,05909990425747,2019-01-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","31,59","33,17","39,65","34,10",Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"5,55"
63,Acidum valproicum + Natrii valproas,"ValproLEK 300, tabl. o przedłużonym uwalnianiu, 87+200 mg",30 szt. (3 blist.po 10 szt.),05909990619658,"<1>2019-01-01/<2>2019-03-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","9,40","9,87","13,49","13,49",<1>Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"3,20"
64,Acidum valproicum + Natrii valproas,"ValproLEK 300, tabl. o przedłużonym uwalnianiu, 87+200 mg",30 szt. (3 blist.po 10 szt.),05909990619658,<1>2019-01-01/<2>2019-03-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","9,40","9,87","13,49","13,49",<2>Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"0,00"
65,Acidum valproicum + Natrii valproas,"ValproLEK 500, tabl. o przedłużonym uwalnianiu, 145+333 mg",30 szt. (3 blist.po 10 szt.),05909990619672,"<1>2019-01-01/<2>2019-03-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","15,93","16,73","21,77","21,77",<1>Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,"3,20"
66,Acidum valproicum + Natrii valproas,"ValproLEK 500, tabl. o przedłużonym uwalnianiu, 145+333 mg",30 szt. (3 blist.po 10 szt.),05909990619672,<1>2019-01-01/<2>2019-03-01,3 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","15,93","16,73","21,77","21,77",<2>Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,"0,00"
