"D. Leki, środki spożywcze specjalnego przeznaczenia żywieniowego oraz wyroby medyczne przysługujące świadczeniobiorcom, o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2020 r. poz. 1398, z późn. zm.)",,,,
LP,Substancja czynna,Nazwa i postać leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt
42,Amlodipinum,"Agen 5, tabl., 5 mg",60 szt. (6 blist.po 10 szt. lub 4 blist.po 15 szt.),05909991067533
43,Amlodipinum,"Agen 5, tabletki, 5 mg",30 tabl.,05909991295226
44,Amlodipinum,"Aldan, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909991008734
45,Amlodipinum,"Aldan, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909991008635
46,Amlodipinum,"Alneta, tabl., 10 mg",30 szt.,05909991068073
47,Amlodipinum,"Alneta, tabl., 10 mg",60 tabl.,05909991068097
48,Amlodipinum,"Alneta, tabl., 5 mg",30 szt.,05909991067977
49,Amlodipinum,"Alneta, tabl., 5 mg",60 tabl.,05909991067991
50,Amlodipinum,"Amlodipine Aurobindo, tabl., 10 mg",30 szt.,05909990955008
51,Amlodipinum,"Amlodipine Aurobindo, tabl., 5 mg",30 szt.,05909990954254
52,Amlodipinum,"Amlodipine Bluefish, tabl., 10 mg",30 szt.,05909990800551
53,Amlodipinum,"Amlodipine Bluefish, tabl., 5 mg",30 szt.,05909990800469
54,Amlodipinum,"Amlodipine Orion, tabl., 10 mg",30 szt.,05909991392079
55,Amlodipinum,"Amlodipine Orion, tabl., 5 mg",30 szt.,05909991392062
56,Amlodipinum,"Amlomyl, tabl., 10 mg",30 szt.,05909990842698
57,Amlodipinum,"Amlomyl, tabl., 5 mg",30 szt.,05909990842476
58,Amlodipinum,"Amlomyl, tabletki, 10 mg",30 tabl.,05909991362195
59,Amlodipinum,"Amlonor, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990642625
60,Amlodipinum,"Amlonor, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990642618
61,Amlodipinum,"Amlopin 10 mg, tabl., 10 mg",28 szt.,05909991312343
62,Amlodipinum,"Amlopin 10 mg, tabl., 10 mg",30 szt.,05909997213699
63,Amlodipinum,"Amlopin 10 mg, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990048977
64,Amlodipinum,"Amlopin 10 mg, tabletki, 10 mg",28 tabl.,05909991361020
65,Amlodipinum,"Amlopin 10 mg, tabletki, 10 mg",28 tabl.,05909991371784
66,Amlodipinum,"Amlopin 5 mg, tabl., 5 mg",28 szt.,05909991312244
67,Amlodipinum,"Amlopin 5 mg, tabl., 5 mg",30 szt.,05909991200732
68,Amlodipinum,"Amlopin 5 mg, tabl., 5 mg",30 szt.,05909997213675
69,Amlodipinum,"Amlopin 5 mg, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990048939
70,Amlodipinum,"Amlopin 5 mg, tabletki, 5 mg",28 tabl.,05909991361013
71,Amlodipinum,"Amlopin 5 mg, tabletki, 5 mg",28 tabl.,05909991371708
72,Amlodipinum,"Amlozek, tabl., 10 mg",30 szt.,05909990799817
73,Amlodipinum,"Amlozek, tabl., 5 mg",30 szt.,05909990799718
74,Amlodipinum,"Apo-Amlo 10, tabl., 10 mg",30 szt.,05909991236687
75,Amlodipinum,"Apo-Amlo 10, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990565993
76,Amlodipinum,"Apo-Amlo 5, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990565986
77,Amlodipinum,"Cardilopin, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990907519
78,Amlodipinum,"Cardilopin, tabl., 2,5 mg",30 szt. (3 blist.po 10 szt.),05909990907311
79,Amlodipinum,"Cardilopin, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990907410
80,Amlodipinum,"Finamlox, tabl., 10 mg",30 szt.,05909990794461
81,Amlodipinum,"Finamlox, tabl., 5 mg",30 tabl.,05909990794430
82,Amlodipinum,"Normodipine, tabl., 10 mg",30 szt.,05909990993116
83,Amlodipinum,"Normodipine, tabl., 5 mg",30 szt.,05909990993017
84,Amlodipinum,"Tenox, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990963119
85,Amlodipinum,"Tenox, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990963010
86,Amlodipinum,"Tenox, tabl., 5 mg",90 szt. (9 blist.po 10 szt.),05909990421824
87,Amlodipinum,"Vilpin, tabl., 10 mg",28 szt.,05909991283797
88,Amlodipinum,"Vilpin, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909991042912
89,Amlodipinum,"Vilpin, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990621217
90,Amlodipinum,"Vilpin, tabletki, 10 mg",28 tabl.,05909991312374
91,Amlodipinum,"Vilpin, tabletki, 5 mg",28 tabl.,05909991312367
92,Amlodipinum + Valsartanum,"Dipperam, tabletki powlekane, 10+160 mg",28 szt.,05907626708288
93,Amlodipinum + Valsartanum,"Dipperam, tabletki powlekane, 10+160 mg",56 szt.,05907626709384
94,Amlodipinum + Valsartanum,"Dipperam, tabletki powlekane, 5+160 mg",28 szt.,05907626708257
95,Amlodipinum + Valsartanum,"Dipperam, tabletki powlekane, 5+160 mg",56 szt.,05907626709377
96,Amlodipinum + Valsartanum,"Dipperam, tabletki powlekane, 5+80 mg",28 szt.,05907626708226
97,Amlodipinum + Valsartanum,"Dipperam, tabletki powlekane, 5+80 mg",56 szt.,05907626709360
98,Amlodipinum + Valsartanum + Hydrochlorothiazidum,"Valtricom, tabl. powl., 10 + 160 + 12,5 mg",28 szt.,03838989708610
99,Amlodipinum + Valsartanum + Hydrochlorothiazidum,"Valtricom, tabl. powl., 10 + 160 + 25 mg",28 szt.,03838989708634
100,Amlodipinum + Valsartanum + Hydrochlorothiazidum,"Valtricom, tabl. powl., 5 + 160 + 12,5 mg",28 szt.,03838989708627
101,Apixabanum,"Eliquis, tabl. powl., 2,5 mg",20 tabl.,05909990861040
102,Atenololum,"Atenolol Sanofi 25, tabl., 25 mg",60 szt.,05909990370610
103,Atenololum,"Atenolol Sanofi 50, tabl., 50 mg",30 szt.,05909990011414
104,Atorvastatin,"Atrox 10, tabl. powl., 10 mg",90 szt.,05907695215359
105,Atorvastatin,"Atrox 20, tabl. powl., 20 mg",90 szt.,05907695215366
106,Atorvastatin,"Atrox 40, tabl. powl., 40 mg",90 szt.,05907695215373
107,Atorvastatinum,"Apo-Atorva, tabl. powl., 10 mg",30 szt.,05909990787586
108,Atorvastatinum,"Apo-Atorva, tabl. powl., 20 mg",30 szt.,05909990787609
109,Atorvastatinum,"Apo-Atorva, tabl. powl., 40 mg",30 szt.,05909990787647
110,Atorvastatinum,"Atoris, tabl. powl., 10 mg",30 szt.,05909990991815
111,Atorvastatinum,"Atoris, tabl. powl., 10 mg",90 szt. (9 blist.po 10 szt.),05909990336647
112,Atorvastatinum,"Atoris, tabl. powl., 20 mg",30 szt.,05909990991914
113,Atorvastatinum,"Atoris, tabl. powl., 20 mg",60 szt.,05909991013806
114,Atorvastatinum,"Atoris, tabl. powl., 20 mg",90 szt.,05909990419173
115,Atorvastatinum,"Atoris, tabl. powl., 30 mg",30 szt.,05909990885282
116,Atorvastatinum,"Atoris, tabl. powl., 30 mg",60 tabl.,05909990885299
117,Atorvastatinum,"Atoris, tabl. powl., 40 mg",30 szt.,05909990623464
118,Atorvastatinum,"Atoris, tabl. powl., 40 mg",60 szt.,05909990623471
119,Atorvastatinum,"Atoris, tabl. powl., 40 mg",90 szt. (9 blist.po 10 szt.),05909990623488
120,Atorvastatinum,"Atoris, tabl. powl., 60 mg",30 szt.,05909990885336
121,Atorvastatinum,"Atoris, tabl. powl., 80 mg",30 szt.,05909990885374
122,Atorvastatinum,"Atorvagen, tabl. powl., 20 mg",30 szt.,05909990938926
123,Atorvastatinum,"Atorvagen, tabl. powl., 40 mg",30 szt.,05909990938995
124,Atorvastatinum,"Atorvagen, tabletki powlekane, 20 mg",28 tabl.,05909991385699
125,Atorvastatinum,"Atorvagen, tabletki powlekane, 40 mg",28 tabl.,05909991385675
126,Atorvastatinum,"Atorvastatin Aurovitas, tabletki powlekane, 20 mg",30 tabl.,05909991321611
127,Atorvastatinum,"Atorvastatin Aurovitas, tabletki powlekane, 20 mg",90 tabl.,05909991321659
128,Atorvastatinum,"Atorvastatin Aurovitas, tabletki powlekane, 40 mg",30 tabl.,05909991321710
129,Atorvastatinum,"Atorvastatin Aurovitas, tabletki powlekane, 40 mg",90 tabl.,05909991321758
130,Atorvastatinum,"Atorvastatin Bluefish AB, tabl. powl., 20 mg",90 szt.,07311920002252
131,Atorvastatinum,"Atorvastatin Bluefish AB, tabl. powl., 30 mg",30 szt.,05909991382919
132,Atorvastatinum,"Atorvastatin Bluefish AB, tabl. powl., 40 mg",60 szt.,07311920002276
133,Atorvastatinum,"Atorvastatin Bluefish AB, tabl. powl., 40 mg",90 szt.,07311920002269
134,Atorvastatinum,"Atorvastatin Bluefish AB, tabl. powl., 60 mg",30 szt.,05909991382933
135,Atorvastatinum,"Atorvastatin Bluefish AB, tabl. powl., 80 mg",30 szt.,05909991382940
136,Atorvastatinum,"Atorvastatin Bluefish AB, tabletki powlekane, 10 mg",30 tabl.,05909991382896
137,Atorvastatinum,"Atorvastatin Bluefish AB, tabletki powlekane, 20 mg",30 tabl.,05909991382902
138,Atorvastatinum,"Atorvastatin Bluefish AB, tabletki powlekane, 40 mg",30 tabl.,05909991382926
139,Atorvastatinum,"Atorvastatin Bluefish, tabl. powl., 20 mg",30 szt.,05909990887279
140,Atorvastatinum,"Atorvastatin Bluefish, tabl. powl., 40 mg",30 szt.,05909990887286
141,Atorvastatinum,"Atorvastatin Genoptim, tabl. powl., 10 mg",30 szt.,05909990900053
142,Atorvastatinum,"Atorvastatin Genoptim, tabl. powl., 20 mg",30 szt.,05909990899920
143,Atorvastatinum,"Atorvastatin Genoptim, tabl. powl., 40 mg",30 szt.,05909990900275
144,Atorvastatinum,"Atorvastatin Genoptim, tabl. powl., 80 mg",30 szt.,05909990900459
145,Atorvastatinum,"Atorvastatin Genoptim, tabletki powlekane, 20 mg",60 tabl.,05909990899951
146,Atorvastatinum,"Atorvastatin Genoptim, tabletki powlekane, 20 mg",90 tabl.,05909990899975
147,Atorvastatinum,"Atorvastatin Genoptim, tabletki powlekane, 40 mg",60 tabl.,05909990900305
148,Atorvastatinum,"Atorvastatin Genoptim, tabletki powlekane, 40 mg",90 tabl.,05909990900336
149,Atorvastatinum,"Atorvastatin Vitama, tabl. powl., 20 mg",30 szt.,05909991200787
150,Atorvastatinum,"Atorvastatin Vitama, tabl. powl., 40 mg",30 szt.,05909991201050
151,Atorvastatinum,"Atorvasterol, tabl. powl., 10 mg",30 szt.,05909990077847
152,Atorvastatinum,"Atorvasterol, tabl. powl., 20 mg",30 szt.,05909990077939
153,Atorvastatinum,"Atorvasterol, tabl. powl., 40 mg",30 szt.,05909990078028
154,Atorvastatinum,"Atorvasterol, tabl. powl., 80 mg",30 szt.,05909991041298
155,Atorvastatinum,"Atorvox, tabl. powl., 10 mg",30 szt.,05909990573400
156,Atorvastatinum,"Atorvox, tabl. powl., 20 mg",30 szt.,05909990573530
157,Atorvastatinum,"Atorvox, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990573547
158,Atorvastatinum,"Atractin, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990078141
159,Atorvastatinum,"Atractin, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990078264
160,Atorvastatinum,"Atractin, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990078356
161,Atorvastatinum,"Atrox 10, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909991124618
162,Atorvastatinum,"Atrox 10, tabl. powl., 10 mg",60 tabl.,05907695215137
163,Atorvastatinum,"Atrox 20, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909991124717
164,Atorvastatinum,"Atrox 20, tabl. powl., 20 mg",60 tabl.,05907695215144
165,Atorvastatinum,"Atrox 40, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909991124816
166,Atorvastatinum,"Atrox 40, tabl. powl., 40 mg",60 tabl.,05907695215151
167,Atorvastatinum,"Atrox, tabl. powl., 80 mg",30 szt.,05909991011383
168,Atorvastatinum,"Lambrinex, tabl. powl., 10 mg",30 szt.,05909990905508
169,Atorvastatinum,"Lambrinex, tabl. powl., 20 mg",30 szt.,05909990905638
170,Atorvastatinum,"Lambrinex, tabl. powl., 40 mg",30 szt.,05909990905782
171,Atorvastatinum,"Lambrinex, tabletki powlekane, 10 mg",60 tabl.,05909990905539
172,Atorvastatinum,"Lambrinex, tabletki powlekane, 10 mg",90 tabl.,05909990905553
173,Atorvastatinum,"Lambrinex, tabletki powlekane, 20 mg",60 tabl.,05909990905652
174,Atorvastatinum,"Lambrinex, tabletki powlekane, 20 mg",90 tabl.,05909990905676
175,Atorvastatinum,"Lambrinex, tabletki powlekane, 40 mg",60 tabl.,05909990905805
176,Atorvastatinum,"Lambrinex, tabletki powlekane, 40 mg",90 tabl.,05909990905867
177,Atorvastatinum,"Larus, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990078707
178,Atorvastatinum,"Storvas CRT, tabl. powl., 10 mg",30 szt.,05909991042097
179,Atorvastatinum,"Storvas CRT, tabl. powl., 20 mg",30 szt.,05909991042103
180,Atorvastatinum,"Storvas CRT, tabl. powl., 40 mg",30 szt.,05909991042134
181,Atorvastatinum,"Storvas CRT, tabl. powl., 80 mg",30 szt.,05909991042141
182,Atorvastatinum,"Torvacard 10, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990338290
183,Atorvastatinum,"Torvacard 20, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990338368
184,Atorvastatinum,"Torvacard 40, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990338436
185,Atorvastatinum,"Torvacard 40, tabl. powl., 40 mg",90 szt. (9 blist.po 10 szt.),05909990338443
186,Atorvastatinum,"Torvacard, tabl. powl., 80 mg",30 tabl.,05909990957071
187,Atorvastatinum,"Torvalipin, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990053179
188,Atorvastatinum,"Torvalipin, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990053230
189,Atorvastatinum,"Torvalipin, tabl. powl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990053278
190,Atorvastatinum,"Tulip 40 mg, tabl. powl., 40 mg",30 szt.,05909990810161
191,Atorvastatinum,"Tulip 40 mg, tabl. powl., 40 mg",60 tabl.,05909990810178
192,Atorvastatinum,"Tulip 40 mg, tabl. powl., 40 mg",90 tabl.,05909990810185
193,Atorvastatinum,"Tulip 80 mg, tabl. powl., 80 mg",30 szt.,05909990810208
194,Atorvastatinum,"Tulip, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990998814
195,Atorvastatinum,"Tulip, tabl. powl., 10 mg",60 szt. (6 blist.po 10 szt.),05909990998821
196,Atorvastatinum,"Tulip, tabl. powl., 10 mg",90 szt. (9 blist.po 10 szt.),05909990998838
197,Atorvastatinum,"Tulip, tabl. powl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990998913
198,Atorvastatinum,"Tulip, tabl. powl., 20 mg",60 szt. (6 blist.po 10 szt.),05909990998920
199,Atorvastatinum,"Tulip, tabl. powl., 20 mg",90 szt. (9 blist.po 10 szt.),05909990998937
200,Atorvastatinum calcicum trihydricum,"Apo-Atorva, tabl. powl., 30 mg",30 szt.,05909991403911
201,Atorvastatinum calcicum trihydricum,"Apo-Atorva, tabl. powl., 30 mg",60 szt.,05909991403935
202,Beclometasoni dipropionas + Formoteroli fumaras + Glycopyrronii bromidum,"Trimbow, aerozol inh., roztwór, 87+5+11 µg/dawkę inhalacyjną",1 poj. a 180 daw.,08025153008156
203,Beclometasonum + Formoterolum,"Fostex, aerozol inhalacyjny, roztwór, 100+6 µg/dawkę",poj.po 180 daw.,05909990054152
204,Beclometasonum + Formoterolum,"Fostex, aerozol inhalacyjny, roztwór, 200+6 µg/dawkę",poj.po 180 daw.,05909991245696
205,Benazeprilum,"Lotensin, tabl. powl., 10 mg",28 szt. (2 blist.po 14 szt.),05909990118915
206,Benazeprilum,"Lotensin, tabl. powl., 20 mg",28 szt. (2 blist.po 14 szt.),05909990119011
207,Benazeprilum,"Lotensin, tabl. powl., 5 mg",28 szt. (2 blist.po 14 szt.),05909990118816
208,Betaxololum,"Betoptic S, krople do oczu, zawiesina, 2,5 mg/ml",10 ml,05909990186525
209,Betaxololum,"Betoptic S, krople do oczu, zawiesina, 2,5 mg/ml",5 ml,05909990186518
210,Betaxololum,"Optibetol 0,5%, krople do oczu, roztwór, 5 mg/ml",5 ml (but.),05909990925513
211,Bimatoprostum,"Bimakolan, krople do oczu, roztwór, 0,3 mg/ml",1 butelka 3 ml,05909991137403
212,Bimatoprostum,"Bimakolan, krople do oczu, roztwór, 0,3 mg/ml",3 butelki po 3 ml,05909991137397
213,Bimatoprostum,"Bimaroz, krople do oczu, roztwór, 0,3 mg/ml",1 butelka 3 ml,05909991105594
214,Bimatoprostum,"Bimaroz, krople do oczu, roztwór, 0,3 mg/ml",3 butelki 3 ml,05909991105600
215,Bimatoprostum,"Bimatoprost Genoptim, krople do oczu, roztwór, 0,3 mg/ml",1 but.po 3 ml,05909991285708
216,Bimatoprostum,"Bimatoprost Genoptim, krople do oczu, roztwór, 0,3 mg/ml",3 butelki po 3 ml,05907553017644
217,Bimatoprostum,"Bimican, krople do oczu, roztwór, 0,3 mg/ml",1 but.po 3 ml,05909991097066
218,Bimatoprostum,"Bimican, krople do oczu, roztwór, 0,3 mg/ml",3 but.po 3 ml,05909991097073
219,Bimatoprostum,"Bimifree, krople do oczu, roztwór, 0,3 mg/ml",1 but.po 3 ml,05909991335663
220,Bimatoprostum,"Bimifree, krople do oczu, roztwór, 0,3 mg/ml",3 but.po 3 ml,05909991335670
221,Bimatoprostum,"Lumigan, krople do oczu, roztwór, 0,3 mg/ml",1 but.po 3 ml,05909990008469
222,Bimatoprostum,"Vizibim, krople do oczu, roztwór, 0,3 mg/ml",1 butelka 3 ml,05909991310769
223,Bimatoprostum,"Vizibim, krople do oczu, roztwór, 0,3 mg/ml",3 butelki po 3 ml,05909991310776
224,Bimatoprostum + Timololum,"Bimaroz Duo, krople do oczu, 0,3+5 mg/ml",1 but.po 3 ml,05909991376772
225,Bimatoprostum + Timololum,"Bimaroz Duo, krople do oczu, 0,3+5 mg/ml",3 but.po 3 ml,05909991376789
226,Bimatoprostum + Timololum,"Bimifree Combi, krople do oczu, roztwór, 0,3+5 mg/ml",1 but.po 3 ml,05909991422356
227,Bimatoprostum + Timololum,"Bimifree Combi, krople do oczu, roztwór, 0,3+5 mg/ml",3 but.po 3 ml,05909991422363
228,Bimatoprostum + Timololum,"Ganfort, krople do oczu, roztwór, 0,3+5 mg/ml",1 but.po 3 ml,05909990574315
229,Bisoprololi fumaras,"Bisoprolol Genoptim, tabl. powl., 10 mg",60 szt.,05909991358075
230,Bisoprololi fumaras,"Bisoprolol Genoptim, tabl. powl., 5 mg",60 szt.,05909991357993
231,Bisoprololi fumaras,"Sobycor, tabl. powl., 10 mg",30 szt.,05909991097523
232,Bisoprololi fumaras,"Sobycor, tabl. powl., 10 mg",60 szt.,05909991097554
233,Bisoprololi fumaras,"Sobycor, tabl. powl., 5 mg",30 szt.,05909991097400
234,Bisoprololi fumaras,"Sobycor, tabl. powl., 5 mg",60 szt.,05909991097448
235,Bisoprololum,"Bicardef 10 mg, tabl. powl., 10 mg",60 tabl.,05909991197049
236,Bisoprololum,"Bicardef 10 mg, tabl. powl., 10 mg",90 tabl.,05909991197056
237,Bisoprololum,"Bicardef 5 mg, tabl. powl., 5 mg",60 tabl.,05909991197070
238,Bisoprololum,"Bicardef 5 mg, tabl. powl., 5 mg",90 tabl.,05909991197063
239,Bisoprololum,"Bisoprolol VP, tabletki, 10 mg",30 tabl.,05909991152017
240,Bisoprololum,"Bisoprolol VP, tabletki, 5 mg",30 tabl.,05909991151911
241,Bisoprololum,"Bisoratio 10, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909991015114
242,Bisoprololum,"Bisoratio 5, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909991015015
243,Bisoprololum,"Corectin 10, tabl. powl., 10 mg",60 tabl.,05909991066529
244,Bisoprololum,"Corectin 5, tabl. powl., 5 mg",60 tabl.,05909991066420
245,Bisoprololum,"Coronal 10, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990633852
246,Bisoprololum,"Coronal 10, tabl. powl., 10 mg",60 tabl.,05909990633869
247,Bisoprololum,"Coronal 5, tabl. powl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990633791
248,Bisoprololum,"Coronal 5, tabl. powl., 5 mg",60 tabl.,05909990633807
249,Brimonidini tartras,"Biprolast, krople do oczu, roztwór, 2 mg/ml",1 but.po 5 ml,05909990874194
250,Brimonidini tartras,"Biprolast, krople do oczu, roztwór, 2 mg/ml",3 but.po 5 ml,05906414000900
251,Brimonidini tartras,"Briglau Free, krople do oczu, roztwór, 2 mg/ml",1 butelka po 5 ml,05909991379483
252,Brimonidini tartras,"Briglau Free, krople do oczu, roztwór, 2 mg/ml",3 butelki po 5 ml,05909991379490
253,Brimonidini tartras,"Oculobrim, krople do oczu, roztwór, 2 mg/ml",3 butelki po 5 ml,05907553017897
254,Brimonidinum,"Alphagan, krople do oczu, roztwór, 2 mg/ml",5 ml,05909990865024
255,Brimonidinum,"Briglau PPH, krople do oczu, roztwór, 2 mg/ml",5 ml (but.),05909990974641
256,Brimonidinum,"Luxfen, krople do oczu, roztwór, 2 mg/ml",5 ml (but.),05909990677733
257,Brimonidinum,"Oculobrim, krople do oczu, roztwór, 2 mg/ml",1 butelka po 5 ml,05909991304751
258,Brimonidinum + Timololum,"Combigan, krople do oczu, roztwór, 2+5 mg/ml",1 but.po 5 ml,05909990570546
259,Brinzolamidum,"Azopt, krople do oczu, zawiesina, 10 mg/ml",1 but.po 5 ml,05909990869114
260,Brinzolamidum,"Brinzolamide Genoptim, krople do oczu, zawiesina, 10 mg/ml",1 but.po 5 ml,05909991250386
261,Brinzolamidum,"Optilamid, krople do oczu, zawiesina, 10 mg/ml",1 but.po 5 ml,05909991223571
262,Brinzolamidum,"Optilamid, krople do oczu, zawiesina, 10 mg/ml",3 butelki po 5 ml,05909991223588
263,Budesonidum,"BDS N, zawiesina do nebulizacji, 0,125 mg/ml",20 amp.po 2 ml,05909991306137
264,Budesonidum,"BDS N, zawiesina do nebulizacji, 0,25 mg/ml",20 amp.po 2 ml,05909991306144
