LP,Substancja czynna,Nazwa  postać i dawka,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Cena detaliczna,Wysokość limitu finansowania,Zakres wskazań objętych refundacją,Zakres wskazań pozarejestracyjnych objętych refundacją,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
11,Emplastri alginatosa et hydrofibrica,"Suprasorb A, opatrunek z alginianu wapnia, sterylny, 10x20 cm, opatrunek, 200 cm²",1 szt.,4021447013480,2022-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","13,50","14,18","18,52","18,52",Przewlekłe owrzodzenia,,30%,"5,56"
12,Emplastri alginatosa et hydrofibrica,"Suprasorb A, opatrunek z alginianu wapnia, sterylny, 5x5 cm, opatrunek, 25 cm²",1 szt.,4021447013442,2022-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","2,27","2,38","3,09","2,32",Przewlekłe owrzodzenia,,30%,"1,47"
13,Emplastri antimicrobiotica,"Acticoat Flex 3 10x10 cm, opatrunek o rozmiarach 10cm x 10cm pokryty nanokrystalicznym srebrem, 100 cm²",1 szt.,0040565124810,2023-01-01,3 lata,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","14,33","15,05","18,69","12,23",Przewlekłe owrzodzenia,,30%,"10,13"
14,Emplastri antimicrobiotica,"Acticoat Flex 3 10x10 cm, opatrunek o rozmiarach 10cm x 10cm pokryty nanokrystalicznym srebrem, 100 cm²",1 szt.,0040565124810,2023-01-01,3 lata,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","14,33","15,05","18,69","12,23",Epidermolysis bullosa,,bezpłatny do limitu,"6,46"
15,Emplastri antimicrobiotica,"Acticoat Flex 3 10x20 cm, opatrunek o rozmiarach 10cm x 20cm pokryty nanokrystalicznym srebrem, 200 cm²",1 szt.,0040565124858,2023-01-01,3 lata,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","24,30","25,52","31,21","24,45",Przewlekłe owrzodzenia,,30%,"14,10"
16,Emplastri antimicrobiotica,"Acticoat Flex 3 10x20 cm, opatrunek o rozmiarach 10cm x 20cm pokryty nanokrystalicznym srebrem, 200 cm²",1 szt.,0040565124858,2023-01-01,3 lata,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","24,30","25,52","31,21","24,45",Epidermolysis bullosa,,bezpłatny do limitu,"6,76"
17,Emplastri antimicrobiotica,"Acticoat Flex 3 20x40 cm, opatrunek o rozmiarach 20cm x 40cm pokryty nanokrystalicznym srebrem, 800 cm²",1 szt.,0040565124872,2023-01-01,3 lata,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","81,00","85,05","97,80","97,80",Przewlekłe owrzodzenia,,30%,"29,34"
18,Emplastri antimicrobiotica,"Acticoat Flex 3 20x40 cm, opatrunek o rozmiarach 20cm x 40cm pokryty nanokrystalicznym srebrem, 800 cm²",1 szt.,0040565124872,2023-01-01,3 lata,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","81,00","85,05","97,80","97,80",Epidermolysis bullosa,,bezpłatny do limitu,"0,00"
19,Emplastri antimicrobiotica,"Actisorb Plus 25 10,5x10,5 cm, opatrunek, 110.25 cm²",1 szt.,15051978002970,2022-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","13,10","13,76","17,85","15,49",Przewlekłe owrzodzenia,,30%,"7,01"
20,Emplastri antimicrobiotica,"Actisorb Plus 25 10,5x19 cm, opatrunek, 199.5 cm²",1 szt.,15051978002994,2022-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","23,71","24,90","30,92","28,03",Przewlekłe owrzodzenia,,30%,"11,30"
21,Emplastri antimicrobiotica,"Allevyn Ag Adhesive 10x10 cm, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10cm x 10cm zawierająca sulfadiazynę srebra, 100 cm²",1 szt.,5000223461652,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","11,39","11,96","15,81","14,05",Przewlekłe owrzodzenia,,30%,"5,98"
22,Emplastri antimicrobiotica,"Allevyn Ag Adhesive 10x10 cm, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10cm x 10cm zawierająca sulfadiazynę srebra, 100 cm²",1 szt.,5000223461652,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","11,39","11,96","15,81","14,05",Epidermolysis bullosa,,bezpłatny do limitu,"1,76"
23,Emplastri antimicrobiotica,"Allevyn Ag Adhesive 12,5x12,5 cm, pianka poliuretanowa o rozmiarze 12,5cm x 12,5cm zawierająca sulfadiazynę srebra, 156.25 cm²",1 szt.,5000223462222,2021-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","16,22","17,03","22,20","21,95",Przewlekłe owrzodzenia,,30%,"6,84"
24,Emplastri antimicrobiotica,"Allevyn Ag Adhesive 12,5x12,5 cm, pianka poliuretanowa o rozmiarze 12,5cm x 12,5cm zawierająca sulfadiazynę srebra, 156.25 cm²",1 szt.,5000223462222,2021-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","16,22","17,03","22,20","21,95",Epidermolysis bullosa,,bezpłatny do limitu,"0,25"
25,Emplastri antimicrobiotica,"Allevyn Ag Adhesive 7,5x7,5 cm, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 7,5cm x 7,5cm zawierająca sulfadiazynę srebra, 56.25 cm²",1 szt.,5000223461621,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","7,45","7,82","10,30","7,90",Przewlekłe owrzodzenia,,30%,"4,77"
26,Emplastri antimicrobiotica,"Allevyn Ag Adhesive 7,5x7,5 cm, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 7,5cm x 7,5cm zawierająca sulfadiazynę srebra, 56.25 cm²",1 szt.,5000223461621,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","7,45","7,82","10,30","7,90",Epidermolysis bullosa,,bezpłatny do limitu,"2,40"
27,Emplastri antimicrobiotica,"Allevyn Ag Heel 10,5x13,5 cm, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10,5 cm x 13,5 cm zawierająca sulfadiazynę srebra, 141.75 cm²",1 szt.,5000223461928,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","21,57","22,65","27,48","19,92",Przewlekłe owrzodzenia,,30%,"13,54"
28,Emplastri antimicrobiotica,"Allevyn Ag Heel 10,5x13,5 cm, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10,5 cm x 13,5 cm zawierająca sulfadiazynę srebra, 141.75 cm²",1 szt.,5000223461928,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","21,57","22,65","27,48","19,92",Epidermolysis bullosa,,bezpłatny do limitu,"7,56"
29,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive, opatrunek o rozmiarach 10cm x 10cm zawierający sulfadiazynę srebra, nie posiadający warstwy adhezyjnej, 100 cm²",1 szt.,5000223462314,2021-05-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","11,29","11,85","15,70","14,05",Przewlekłe owrzodzenia,,30%,"5,87"
30,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive, opatrunek o rozmiarach 10cm x 10cm zawierający sulfadiazynę srebra, nie posiadający warstwy adhezyjnej, 100 cm²",1 szt.,5000223462314,2021-05-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","11,29","11,85","15,70","14,05",Epidermolysis bullosa,,bezpłatny do limitu,"1,65"
31,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive 15x15 cm, opatrunek o rozmiarach 15cm x 15cm zawierający sulfadiazynę srebra, 225 cm²",1 szt.,5000223461805,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","29,16","30,62","37,09","31,61",Przewlekłe owrzodzenia,,30%,"14,96"
32,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive 15x15 cm, opatrunek o rozmiarach 15cm x 15cm zawierający sulfadiazynę srebra, 225 cm²",1 szt.,5000223461805,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","29,16","30,62","37,09","31,61",Epidermolysis bullosa,,bezpłatny do limitu,"5,48"
33,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive 20x20 cm, opatrunek o rozmiarach 20cm x 20cm zawierający sulfadiazynę srebra, 400 cm²",1 szt.,5000223461836,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","44,76","47,00","56,20","56,20",Przewlekłe owrzodzenia,,30%,"16,86"
34,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive 20x20 cm, opatrunek o rozmiarach 20cm x 20cm zawierający sulfadiazynę srebra, 400 cm²",1 szt.,5000223461836,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","44,76","47,00","56,20","56,20",Epidermolysis bullosa,,bezpłatny do limitu,"0,00"
35,Emplastri antimicrobiotica,"Allevyn Ag Sacrum 17x17 cm, opatrunek specjalistyczny - pianka poliuretanowa na okolicę krzyżową o rozmiarze 17cm x 17cm zawierająca sulfadiazynę, 289 cm²",1 szt.,5000223461867,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","32,40","34,02","41,61","40,60",Przewlekłe owrzodzenia,,30%,"13,19"
36,Emplastri antimicrobiotica,"Allevyn Ag Sacrum 17x17 cm, opatrunek specjalistyczny - pianka poliuretanowa na okolicę krzyżową o rozmiarze 17cm x 17cm zawierająca sulfadiazynę, 289 cm²",1 szt.,5000223461867,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","32,40","34,02","41,61","40,60",Epidermolysis bullosa,,bezpłatny do limitu,"1,01"
37,Emplastri antimicrobiotica,"Allevyn Ag Sacrum 22x22 cm, opatrunek specjalistyczny - pianka poliuretanowa na okolicę krzyżową o rozmiarze 22cm x 22cm zawierająca sulfadiazynę, 484 cm²",1 szt.,5000223461898,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","50,76","53,30","63,49","63,49",Przewlekłe owrzodzenia,,30%,"19,05"
38,Emplastri antimicrobiotica,"Allevyn Ag Sacrum 22x22 cm, opatrunek specjalistyczny - pianka poliuretanowa na okolicę krzyżową o rozmiarze 22cm x 22cm zawierająca sulfadiazynę, 484 cm²",1 szt.,5000223461898,2023-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","50,76","53,30","63,49","63,49",Epidermolysis bullosa,,bezpłatny do limitu,"0,00"
39,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 10x10 cm, opatrunek, 100 cm²",1 szt.,0768455123889,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","18,90","19,85","23,62","15,11",Przewlekłe owrzodzenia,,30%,"13,04"
40,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 10x10 cm, opatrunek, 100 cm²",1 szt.,0768455123889,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","18,90","19,85","23,62","15,11",Epidermolysis bullosa,,bezpłatny do limitu,"8,51"
41,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 15x15 cm, opatrunek, 225 cm²",1 szt.,0768455123896,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","41,90","44,00","50,33","34,00",Przewlekłe owrzodzenia,,30%,"26,53"
42,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 15x15 cm, opatrunek, 225 cm²",1 szt.,0768455123896,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","41,90","44,00","50,33","34,00",Epidermolysis bullosa,,bezpłatny do limitu,"16,33"
43,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 15x20 cm, opatrunek, 300 cm²",1 szt.,0768455129164,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","56,05","58,85","66,45","45,33",Przewlekłe owrzodzenia,,30%,"34,72"
44,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 15x20 cm, opatrunek, 300 cm²",1 szt.,0768455129164,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","56,05","58,85","66,45","45,33",Epidermolysis bullosa,,bezpłatny do limitu,"21,12"
45,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 20x20 cm, opatrunek, 400 cm²",1 szt.,0768455123902,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","74,41","78,13","87,17","60,44",Przewlekłe owrzodzenia,,30%,"44,86"
46,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 20x20 cm, opatrunek, 400 cm²",1 szt.,0768455123902,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","74,41","78,13","87,17","60,44",Epidermolysis bullosa,,bezpłatny do limitu,"26,73"
47,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 10x10 cm, opatrunek, 100 cm²",1 szt.,0768455127153,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","18,90","19,85","23,62","15,11",Przewlekłe owrzodzenia,,30%,"13,04"
48,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 10x10 cm, opatrunek, 100 cm²",1 szt.,0768455127153,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","18,90","19,85","23,62","15,11",Epidermolysis bullosa,,bezpłatny do limitu,"8,51"
49,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 12,5x12,5 cm, opatrunek, 156.25 cm²",1 szt.,0768455123773,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","29,05","30,50","35,54","23,61",Przewlekłe owrzodzenia,,30%,"19,01"
50,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 12,5x12,5 cm, opatrunek, 156.25 cm²",1 szt.,0768455123773,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","29,05","30,50","35,54","23,61",Epidermolysis bullosa,,bezpłatny do limitu,"11,93"
51,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 17,5x17,5 cm, opatrunek, 306.25 cm²",1 szt.,0768455123780,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","56,70","59,54","67,25","46,27",Przewlekłe owrzodzenia,,30%,"34,86"
52,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 17,5x17,5 cm, opatrunek, 306.25 cm²",1 szt.,0768455123780,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","56,70","59,54","67,25","46,27",Epidermolysis bullosa,,bezpłatny do limitu,"20,98"
53,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 19,8x14 cm, opatrunek, 277.2 cm²",1 szt.,0768455123803,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","51,41","53,98","61,19","41,88",Przewlekłe owrzodzenia,,30%,"31,87"
54,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 19,8x14 cm, opatrunek, 277.2 cm²",1 szt.,0768455123803,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","51,41","53,98","61,19","41,88",Epidermolysis bullosa,,bezpłatny do limitu,"19,31"
55,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 20x16,9 cm, opatrunek, 338 cm²",1 szt.,0768455123810,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","63,18","66,34","74,59","51,07",Przewlekłe owrzodzenia,,30%,"38,84"
56,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 20x16,9 cm, opatrunek, 338 cm²",1 szt.,0768455123810,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","63,18","66,34","74,59","51,07",Epidermolysis bullosa,,bezpłatny do limitu,"23,52"
57,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 21x21 cm, opatrunek, 441 cm²",1 szt.,0768455123797,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","82,08","86,18","95,68","66,64",Przewlekłe owrzodzenia,,30%,"49,03"
58,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 21x21 cm, opatrunek, 441 cm²",1 szt.,0768455123797,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","82,08","86,18","95,68","66,64",Epidermolysis bullosa,,bezpłatny do limitu,"29,04"
59,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 25x30 cm, opatrunek, 750 cm²",1 szt.,0768455129201,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","141,48","148,55","161,30","113,33",Przewlekłe owrzodzenia,,30%,"81,97"
60,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra 25x30 cm, opatrunek, 750 cm²",1 szt.,0768455129201,2022-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","141,48","148,55","161,30","113,33",Epidermolysis bullosa,,bezpłatny do limitu,"47,97"
61,Emplastri antimicrobiotica,"Atrauman Ag 10x10 cm, opatrunek jałowy z maścią zawierający srebro, 100 cm²",1 szt.,4049500586429,2020-09-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","10,80","11,34","15,11","15,11",Przewlekłe owrzodzenia,,30%,"4,53"
62,Emplastri antimicrobiotica,"Atrauman Ag 10x10 cm, opatrunek jałowy z maścią zawierający srebro, 100 cm²",1 szt.,4049500586429,2020-09-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","10,80","11,34","15,11","15,11",Epidermolysis bullosa,,bezpłatny do limitu,"0,00"
63,Emplastri antimicrobiotica,"Atrauman Ag 10x20 cm, opatrunek jałowy z maścią zawierający srebro, 200 cm²",1 szt.,4049500586436,2020-09-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","21,60","22,68","28,58","28,58",Przewlekłe owrzodzenia,,30%,"8,57"
64,Emplastri antimicrobiotica,"Atrauman Ag 10x20 cm, opatrunek jałowy z maścią zawierający srebro, 200 cm²",1 szt.,4049500586436,2020-09-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","21,60","22,68","28,58","28,58",Epidermolysis bullosa,,bezpłatny do limitu,"0,00"
65,Emplastri antimicrobiotica,"Atrauman Ag 5x5 cm, opatrunek jałowy z maścią zawierający srebro, 25 cm²",1 szt.,4049500586412,2020-09-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","3,89","4,08","5,22","3,78",Przewlekłe owrzodzenia,,30%,"2,57"
66,Emplastri antimicrobiotica,"Atrauman Ag 5x5 cm, opatrunek jałowy z maścią zawierający srebro, 25 cm²",1 szt.,4049500586412,2020-09-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","3,89","4,08","5,22","3,78",Epidermolysis bullosa,,bezpłatny do limitu,"1,44"
67,Emplastri antimicrobiotica,"Biatain Ag Adhesive 15x15 cm, przylepny opatrunek piankowy ze srebrem, 225 cm²",1 szt.,5708932551601,2022-05-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","25,23","26,49","32,96","31,61",Przewlekłe owrzodzenia,,30%,"10,83"
68,Emplastri antimicrobiotica,"Biatain Ag Adhesive 18x18 cm, przylepny opatrunek piankowy ze srebrem, 324 cm²",1 szt.,5708932861496,2021-05-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","41,29","43,35","51,56","45,52",Przewlekłe owrzodzenia,,30%,"19,70"
69,Emplastri antimicrobiotica,"Biatain Ag Adhesive Heel 19x20 cm, przylepny opatrunek piankowy ze srebrem, na piętę, 380 cm²",1 szt.,5708932551632,2022-05-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","42,61","44,74","53,70","53,39",Przewlekłe owrzodzenia,,30%,"16,33"
70,Emplastri antimicrobiotica,"Biatain Ag Adhesive Sacral 23x23 cm, przylepny opatrunek piankowy ze srebrem, na okolicę krzyżową, 529 cm²",1 szt.,5708932861489,2021-05-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","68,09","71,49","82,21","74,32",Przewlekłe owrzodzenia,,30%,"30,19"
