LP,Substancja czynna,Nazwa  postać i dawka,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Cena detaliczna,Wysokość limitu finansowania,Zakres wskazań objętych refundacją,Zakres wskazań pozarejestracyjnych objętych refundacją,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
11,Emplastri alginatosa et hydrofibrica,"Suprasorb A, opatrunek z alginianu wapnia, sterylny, 10x20 cm, opatrunek, 10x20 cm²",1 szt.,4021447013480,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","13,55","14,23","18,58","18,58",Przewlekłe owrzodzenia,,30%,"5,57"
12,Emplastri alginatosa et hydrofibrica,"Suprasorb A, opatrunek z alginianu wapnia, sterylny, 5x5 cm, opatrunek, 5x5 cm²",1 szt.,4021447013442,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","2,27","2,38","3,09","2,32",Przewlekłe owrzodzenia,,30%,"1,47"
13,Emplastri antimicrobiotica,"Acticoat Flex 3 10cm x 10cm, opatrunek o rozmiarach 10cm x 10cm pokryty nanokrystalicznym srebrem, 100 cm²",1 szt.,0040565124810,2018-01-01,5 lat,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","14,90","15,65","19,28","12,23",Przewlekłe owrzodzenia,,30%,"10,72"
14,Emplastri antimicrobiotica,"Acticoat Flex 3 10cm x 10cm, opatrunek o rozmiarach 10cm x 10cm pokryty nanokrystalicznym srebrem, 100 cm²",1 szt.,0040565124810,2018-01-01,5 lat,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","14,90","15,65","19,28","12,23",Epidermolysis bullosa,,bezpłatny do limitu,"7,05"
15,Emplastri antimicrobiotica,"Acticoat Flex 3 10cm x 20cm, opatrunek o rozmiarach 10cm x 20cm pokryty nanokrystalicznym srebrem, 200 cm²",1 szt.,0040565124858,2018-01-01,5 lat,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","25,65","26,93","32,63","24,45",Przewlekłe owrzodzenia,,30%,"15,52"
16,Emplastri antimicrobiotica,"Acticoat Flex 3 10cm x 20cm, opatrunek o rozmiarach 10cm x 20cm pokryty nanokrystalicznym srebrem, 200 cm²",1 szt.,0040565124858,2018-01-01,5 lat,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","25,65","26,93","32,63","24,45",Epidermolysis bullosa,,bezpłatny do limitu,"8,18"
17,Emplastri antimicrobiotica,"Acticoat Flex 3 20cm x 40cm, opatrunek o rozmiarach 20cm x 40cm pokryty nanokrystalicznym srebrem, 800 cm²",1 szt.,0040565124872,2018-01-01,5 lat,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","81,00","85,05","97,80","97,80",Przewlekłe owrzodzenia,,30%,"29,34"
18,Emplastri antimicrobiotica,"Acticoat Flex 3 20cm x 40cm, opatrunek o rozmiarach 20cm x 40cm pokryty nanokrystalicznym srebrem, 800 cm²",1 szt.,0040565124872,2018-01-01,5 lat,"220.13, Opatrunki przeciwbakteryjne zawierające nanokrystaliczne srebro","81,00","85,05","97,80","97,80",Epidermolysis bullosa,,bezpłatny do limitu,"0,00"
19,Emplastri antimicrobiotica,"Actisorb Plus 25, opatrunek, 10,5x10,5 cm²",1 szt.,15051978002970,2019-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","15,12","15,88","19,99","15,61",Przewlekłe owrzodzenia,,30%,"9,06"
20,Emplastri antimicrobiotica,"Actisorb Plus 25, opatrunek, 10,5x19 cm²",1 szt.,15051978002994,2019-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","26,95","28,30","34,35","28,25",Przewlekłe owrzodzenia,,30%,"14,58"
21,Emplastri antimicrobiotica,"Allevyn Ag Adhesive, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10cm x 10cm zawierająca sulfadiazynę srebra, 100 cm²",1 szt.,5000223461652,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","11,39","11,96","15,83","14,16",Przewlekłe owrzodzenia,,30%,"5,92"
22,Emplastri antimicrobiotica,"Allevyn Ag Adhesive, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10cm x 10cm zawierająca sulfadiazynę srebra, 100 cm²",1 szt.,5000223461652,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","11,39","11,96","15,83","14,16",Epidermolysis bullosa,,bezpłatny do limitu,"1,67"
23,Emplastri antimicrobiotica,"Allevyn Ag Adhesive, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 12,5cm x 12,5cm zawierająca sulfadiazynę srebra, 12,5x12,5 cm²",1 szt.,5000223462222,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","16,99","17,84","23,04","22,13",Przewlekłe owrzodzenia,,30%,"7,55"
24,Emplastri antimicrobiotica,"Allevyn Ag Adhesive, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 12,5cm x 12,5cm zawierająca sulfadiazynę srebra, 12,5x12,5 cm²",1 szt.,5000223462222,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","16,99","17,84","23,04","22,13",Epidermolysis bullosa,,bezpłatny do limitu,"0,91"
25,Emplastri antimicrobiotica,"Allevyn Ag Adhesive, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 7,5cm x 7,5cm zawierająca sulfadiazynę srebra, 56.25 cm²",1 szt.,5000223461621,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","8,21","8,62","11,12","7,97",Przewlekłe owrzodzenia,,30%,"5,54"
26,Emplastri antimicrobiotica,"Allevyn Ag Adhesive, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 7,5cm x 7,5cm zawierająca sulfadiazynę srebra, 56.25 cm²",1 szt.,5000223461621,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","8,21","8,62","11,12","7,97",Epidermolysis bullosa,,bezpłatny do limitu,"3,15"
27,Emplastri antimicrobiotica,"Allevyn Ag Heel, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10,5 cm x 13,5 cm zawierająca sulfadiazynę srebra, 141.75 cm²",1 szt.,5000223461928,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","24,95","26,20","31,06","20,07",Przewlekłe owrzodzenia,,30%,"17,01"
28,Emplastri antimicrobiotica,"Allevyn Ag Heel, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10,5 cm x 13,5 cm zawierająca sulfadiazynę srebra, 141.75 cm²",1 szt.,5000223461928,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","24,95","26,20","31,06","20,07",Epidermolysis bullosa,,bezpłatny do limitu,"10,99"
29,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive, opatrunek o rozmiarach 10cm x 10cm zawierający sulfadiazynę srebra, nie posiadający warstwy adhezyjnej, 100 cm²",1 szt.,5000223462314,2018-05-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","12,37","12,99","16,86","14,16",Przewlekłe owrzodzenia,,30%,"6,95"
30,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive, opatrunek o rozmiarach 10cm x 10cm zawierający sulfadiazynę srebra, nie posiadający warstwy adhezyjnej, 100 cm²",1 szt.,5000223462314,2018-05-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","12,37","12,99","16,86","14,16",Epidermolysis bullosa,,bezpłatny do limitu,"2,70"
31,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive, opatrunek o rozmiarach 15cm x 15cm zawierający sulfadiazynę srebra, 225 cm²",1 szt.,5000223461805,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","32,83","34,47","40,97","31,86",Przewlekłe owrzodzenia,,30%,"18,67"
32,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive, opatrunek o rozmiarach 15cm x 15cm zawierający sulfadiazynę srebra, 225 cm²",1 szt.,5000223461805,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","32,83","34,47","40,97","31,86",Epidermolysis bullosa,,bezpłatny do limitu,"9,11"
33,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive, opatrunek o rozmiarach 20cm x 20cm zawierający sulfadiazynę srebra, 400 cm²",1 szt.,5000223461836,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","45,14","47,40","56,64","56,64",Przewlekłe owrzodzenia,,30%,"16,99"
34,Emplastri antimicrobiotica,"Allevyn Ag Non Adhesive, opatrunek o rozmiarach 20cm x 20cm zawierający sulfadiazynę srebra, 400 cm²",1 szt.,5000223461836,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","45,14","47,40","56,64","56,64",Epidermolysis bullosa,,bezpłatny do limitu,"0,00"
35,Emplastri antimicrobiotica,"Allevyn Ag Sacrum, opatrunek specjalistyczny - pianka poliuretanowa na okolicę krzyżową o rozmiarze 17cm x 17cm zawierająca sulfadiazynę, 289 cm²",1 szt.,5000223461867,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","32,40","34,02","41,66","40,92",Przewlekłe owrzodzenia,,30%,"13,02"
36,Emplastri antimicrobiotica,"Allevyn Ag Sacrum, opatrunek specjalistyczny - pianka poliuretanowa na okolicę krzyżową o rozmiarze 17cm x 17cm zawierająca sulfadiazynę, 289 cm²",1 szt.,5000223461867,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","32,40","34,02","41,66","40,92",Epidermolysis bullosa,,bezpłatny do limitu,"0,74"
37,Emplastri antimicrobiotica,"Allevyn Ag Sacrum, opatrunek specjalistyczny - pianka poliuretanowa na okolicę krzyżową o rozmiarze 22cm x 22cm zawierająca sulfadiazynę, 484 cm²",1 szt.,5000223461898,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","50,76","53,30","63,54","63,54",Przewlekłe owrzodzenia,,30%,"19,06"
38,Emplastri antimicrobiotica,"Allevyn Ag Sacrum, opatrunek specjalistyczny - pianka poliuretanowa na okolicę krzyżową o rozmiarze 22cm x 22cm zawierająca sulfadiazynę, 484 cm²",1 szt.,5000223461898,2018-01-01,5 lat,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","50,76","53,30","63,54","63,54",Epidermolysis bullosa,,bezpłatny do limitu,"0,00"
39,Emplastri antimicrobiotica,"Aquacel Ag - opatrunek hydrofiber ze srebrem, płytki z włókien karboksymetylocelulozy sodowej z dodatkiem srebra, 10x10 cm²",1 szt.,0768455152155,2019-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","13,56","14,24","18,12","14,16",Przewlekłe owrzodzenia,,30%,"8,21"
40,Emplastri antimicrobiotica,"Aquacel Ag - opatrunek hydrofiber ze srebrem, płytki z włókien karboksymetylocelulozy sodowej z dodatkiem srebra, 10x10 cm²",1 szt.,0768455152155,2019-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","13,56","14,24","18,12","14,16",Epidermolysis bullosa,,bezpłatny do limitu,"3,96"
41,Emplastri antimicrobiotica,"Aquacel Ag - opatrunek hydrofiber ze srebrem, płytki z włókien karboksymetylocelulozy sodowej z dodatkiem srebra, 15x15 cm²",1 szt.,0768455152162,2019-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","30,64","32,17","38,67","31,86",Przewlekłe owrzodzenia,,30%,"16,37"
42,Emplastri antimicrobiotica,"Aquacel Ag - opatrunek hydrofiber ze srebrem, płytki z włókien karboksymetylocelulozy sodowej z dodatkiem srebra, 15x15 cm²",1 szt.,0768455152162,2019-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","30,64","32,17","38,67","31,86",Epidermolysis bullosa,,bezpłatny do limitu,"6,81"
43,Emplastri antimicrobiotica,"Aquacel Ag - opatrunek hydrofiber ze srebrem, płytki z włókien karboksymetylocelulozy sodowej z dodatkiem srebra, 20x30 cm²",1 szt.,0768455152179,2019-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","78,34","82,26","93,87","84,96",Przewlekłe owrzodzenia,,30%,"34,40"
44,Emplastri antimicrobiotica,"Aquacel Ag - opatrunek hydrofiber ze srebrem, płytki z włókien karboksymetylocelulozy sodowej z dodatkiem srebra, 20x30 cm²",1 szt.,0768455152179,2019-01-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","78,34","82,26","93,87","84,96",Epidermolysis bullosa,,bezpłatny do limitu,"8,91"
45,Emplastri antimicrobiotica,"Aquacel Ag - opatrunek hydrofiber ze srebrem, płytki z włókien karboksymetylocelulozy sodowej z dodatkiem srebra, 2x45 cm²",1 szt.,0768455145614,2019-07-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","10,80","11,34","14,97","12,74",Przewlekłe owrzodzenia,,30%,"6,05"
46,Emplastri antimicrobiotica,"Aquacel Ag - opatrunek hydrofiber ze srebrem, płytki z włókien karboksymetylocelulozy sodowej z dodatkiem srebra, 2x45 cm²",1 szt.,0768455145614,2019-07-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","10,80","11,34","14,97","12,74",Epidermolysis bullosa,,bezpłatny do limitu,"2,23"
47,Emplastri antimicrobiotica,"Aquacel Ag Extra opatrunek hydrofiber z dodatkiem srebra i włókien wzmacniających, opatrunek, 10x10 cm²",1 szt.,0768455127405,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","14,57","15,30","19,17","14,16",Przewlekłe owrzodzenia,,30%,"9,26"
48,Emplastri antimicrobiotica,"Aquacel Ag Extra opatrunek hydrofiber z dodatkiem srebra i włókien wzmacniających, opatrunek, 10x10 cm²",1 szt.,0768455127405,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","14,57","15,30","19,17","14,16",Epidermolysis bullosa,,bezpłatny do limitu,"5,01"
49,Emplastri antimicrobiotica,"Aquacel Ag Extra opatrunek hydrofiber z dodatkiem srebra i włókien wzmacniających, opatrunek, 15x15 cm²",1 szt.,0768455127450,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","32,66","34,29","40,79","31,86",Przewlekłe owrzodzenia,,30%,"18,49"
50,Emplastri antimicrobiotica,"Aquacel Ag Extra opatrunek hydrofiber z dodatkiem srebra i włókien wzmacniających, opatrunek, 15x15 cm²",1 szt.,0768455127450,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","32,66","34,29","40,79","31,86",Epidermolysis bullosa,,bezpłatny do limitu,"8,93"
51,Emplastri antimicrobiotica,"Aquacel Ag Extra opatrunek hydrofiber z dodatkiem srebra i włókien wzmacniających, opatrunek, 20x30 cm²",1 szt.,0768455127481,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","86,76","91,10","102,71","84,96",Przewlekłe owrzodzenia,,30%,"43,24"
52,Emplastri antimicrobiotica,"Aquacel Ag Extra opatrunek hydrofiber z dodatkiem srebra i włókien wzmacniających, opatrunek, 20x30 cm²",1 szt.,0768455127481,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","86,76","91,10","102,71","84,96",Epidermolysis bullosa,,bezpłatny do limitu,"17,75"
53,Emplastri antimicrobiotica,"Aquacel Ag Extra opatrunek hydrofiber z dodatkiem srebra i włókien wzmacniających, opatrunek, 5x5 cm²",1 szt.,0768455127375,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","3,87","4,06","5,24","3,54",Przewlekłe owrzodzenia,,30%,"2,76"
54,Emplastri antimicrobiotica,"Aquacel Ag Extra opatrunek hydrofiber z dodatkiem srebra i włókien wzmacniających, opatrunek, 5x5 cm²",1 szt.,0768455127375,2018-11-01,3 lata,"220.10, Opatrunki przeciwbakteryjne zawierające jony srebra pochłaniające i zatrzymujące wysięk z rany","3,87","4,06","5,24","3,54",Epidermolysis bullosa,,bezpłatny do limitu,"1,70"
55,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 10x10 cm²",1 szt.,0768455123889,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","19,90","20,90","24,67","15,11",Przewlekłe owrzodzenia,,30%,"14,09"
56,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 10x10 cm²",1 szt.,0768455123889,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","19,90","20,90","24,67","15,11",Epidermolysis bullosa,,bezpłatny do limitu,"9,56"
57,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 15x15 cm²",1 szt.,0768455123896,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","44,12","46,33","52,66","34,00",Przewlekłe owrzodzenia,,30%,"28,86"
58,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 15x15 cm²",1 szt.,0768455123896,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","44,12","46,33","52,66","34,00",Epidermolysis bullosa,,bezpłatny do limitu,"18,66"
59,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 15x20 cm²",1 szt.,0768455129164,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","58,48","61,40","69,00","45,33",Przewlekłe owrzodzenia,,30%,"37,27"
60,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 15x20 cm²",1 szt.,0768455129164,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","58,48","61,40","69,00","45,33",Epidermolysis bullosa,,bezpłatny do limitu,"23,67"
61,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 20x20 cm²",1 szt.,0768455123902,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","77,98","81,88","90,91","60,44",Przewlekłe owrzodzenia,,30%,"48,60"
62,Emplastri antimicrobiotica,"Aquacel Ag Foam nieprzylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 20x20 cm²",1 szt.,0768455123902,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","77,98","81,88","90,91","60,44",Epidermolysis bullosa,,bezpłatny do limitu,"30,47"
63,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 10x10 cm²",1 szt.,0768455127153,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","19,90","20,90","24,67","15,11",Przewlekłe owrzodzenia,,30%,"14,09"
64,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 10x10 cm²",1 szt.,0768455127153,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","19,90","20,90","24,67","15,11",Epidermolysis bullosa,,bezpłatny do limitu,"9,56"
65,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 12,5x12,5 cm²",1 szt.,0768455123773,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","30,78","32,32","37,36","23,61",Przewlekłe owrzodzenia,,30%,"20,83"
66,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 12,5x12,5 cm²",1 szt.,0768455123773,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","30,78","32,32","37,36","23,61",Epidermolysis bullosa,,bezpłatny do limitu,"13,75"
67,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 17,5x17,5 cm²",1 szt.,0768455123780,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","59,61","62,59","70,30","46,27",Przewlekłe owrzodzenia,,30%,"37,91"
68,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 17,5x17,5 cm²",1 szt.,0768455123780,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","59,61","62,59","70,30","46,27",Epidermolysis bullosa,,bezpłatny do limitu,"24,03"
69,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 19,8x14 cm²",1 szt.,0768455123803,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","53,97","56,67","63,88","41,88",Przewlekłe owrzodzenia,,30%,"34,56"
70,Emplastri antimicrobiotica,"Aquacel Ag Foam przylepny opatrunek piankowy w technologii hydrofiber z dodatkiem srebra, opatrunek, 19,8x14 cm²",1 szt.,0768455123803,2019-03-01,3 lata,"220.14, Opatrunki przeciwbakteryjne zawierające jony srebra regulujące poziom wilgotności rany","53,97","56,67","63,88","41,88",Epidermolysis bullosa,,bezpłatny do limitu,"22,00"
