LP,Substancja czynna,Nazwa  postać i dawka leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Wysokość limitu finansowania,Oznaczenie załącznika zawierającego zakres wskazań objętych refundacją  wg ICD 10 ,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
18,Acidum levofolinicum,"Levofolic 50 mg/ml roztwór do wstrzykiwań lub infuzji, roztwór do wstrzykiwań i infuzji, 50 mg/ml",1 fiol.po 9 ml,05909990648825,2022-07-01,3 lata,"1093.0, pochodne i sole kwasu folinowego","126,36","132,68","132,68",C.0.01.,bezpłatny,0
19,Acidum zoledronicum,"Osporil, roztwór do infuzji, 4 mg/100 ml",1 fiol.po 100 ml,05909991228392,2021-05-01,<1>3 lata/<2>2 lata,"1117.0, bisfosfoniany - kwas zoledronowy","91,80","96,39","94,12",<1>C.68.; <2>C.68.b.,bezpłatny,0
20,Acidum zoledronicum,"Zoledronic Acid Accord, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml",1 fiol.,05055565711958,<1>2022-01-01/<2>2021-05-01,<1>3 lata/<2>2 lata,"1117.0, bisfosfoniany - kwas zoledronowy","83,16","87,32","87,32",<1>C.68.; <2>C.68.b.,bezpłatny,0
21,Acidum zoledronicum,"Zoledronic Acid Accord, roztwór do infuzji, 4 mg/100 ml",1 worek po 100 ml,05909991377717,2022-01-01,<1>3 lata/<2>2 lata,"1117.0, bisfosfoniany - kwas zoledronowy","83,16","87,32","87,32",<1>C.68.; <2>C.68.b.,bezpłatny,0
22,Acidum zoledronicum,"Zoledronic Acid Noridem, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml",1 fiol.po 5 ml,05208063003388,2023-01-01,<1>3 lata/<2>2 lata,"1117.0, bisfosfoniany - kwas zoledronowy","86,40","90,72","90,72",<1>C.68.; <2>C.68.b.,bezpłatny,0
23,Acidum zoledronicum,"Zomikos, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml",1 fiol.po 5 ml,05909990948994,<1>2021-07-01/<2>2021-05-01,<1>3 lata/<2>2 lata,"1117.0, bisfosfoniany - kwas zoledronowy","89,64","94,12","94,12",<1>C.68.; <2>C.68.b.,bezpłatny,0
24,Anagrelidum,"Anagrelid Aurovitas, kapsułki twarde, 0,5 mg",100 szt.,05909991386436,2020-11-01,3 lata,"1053.0, Anagrelidum","410,40","430,92","430,92",C.72.,bezpłatny,0
25,Anagrelidum,"Anagrelide Accord, kaps. twarde, 0,5 mg",100 szt.,05909991359850,2021-11-01,3 lata,"1053.0, Anagrelidum","540,00","567,00","567,00",C.72.,bezpłatny,0
26,Anagrelidum,"Anagrelide Accord, kaps. twarde, 1 mg",100 szt.,05909991359867,2021-11-01,3 lata,"1053.0, Anagrelidum","1080,00","1134,00","1134,00",C.72.,bezpłatny,0
27,Anagrelidum,"Anagrelide Bluefish, kapsułki twarde, 0,5 mg",100 szt.,05909991422929,2021-09-01,3 lata,"1053.0, Anagrelidum","356,40","374,22","374,22",C.72.,bezpłatny,0
28,Anagrelidum,"Anagrelide Glenmark, kapsułki twarde, 0,5 mg",100 szt.,05902020241652,2021-11-01,3 lata,"1053.0, Anagrelidum","410,40","430,92","430,92",C.72.,bezpłatny,0
29,Anagrelidum,"Anagrelide Ranbaxy, kapsułki twarde, 0,5 mg",100 szt.,05909991362140,2021-11-01,3 lata,"1053.0, Anagrelidum","432,00","453,60","453,60",C.72.,bezpłatny,0
30,Anagrelidum,"Anagrelide Stada, kaps. twarde, 0,5 mg",100 szt.,05909991355135,2022-03-01,3 lata,"1053.0, Anagrelidum","484,92","509,17","509,17",C.72.,bezpłatny,0
31,Anagrelidum,"Anagrelide Vipharm, kaps. twarde, 0,5 mg",100 szt.,05909991354480,2021-05-01,3 lata,"1053.0, Anagrelidum","550,80","578,34","578,34",C.72.,bezpłatny,0
32,Anagrelidum,"Anagrelide Vipharm, kaps. twarde, 1 mg",100 szt.,05909991354503,2021-05-01,3 lata,"1053.0, Anagrelidum","1101,60","1156,68","1156,68",C.72.,bezpłatny,0
33,Anagrelidum,"Thromboreductin, kaps., 0,5 mg",100 szt.,05909990670154,2022-01-01,3 lata,"1053.0, Anagrelidum","486,00","510,30","510,30",C.72.,bezpłatny,0
34,Aprepitantum,"Aprepitant Accord, kaps. twarde, 125 mg; 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909991400576,2020-09-01,3 lata,"1114.0, Aprepitant","84,24","88,45","88,45",C.0.12.,bezpłatny,0
35,Aprepitantum,"Aprepitant Mylan, kaps. twarde, 125 mg; 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909991352547,2020-09-01,3 lata,"1114.0, Aprepitant","81,54","85,62","85,62",C.0.12.,bezpłatny,0
36,Aprepitantum,"Aprepitant Sandoz, kaps. twarde, 125 mg; 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909991360818,2022-11-01,3 lata,"1114.0, Aprepitant","91,80","96,39","96,39",C.0.12.,bezpłatny,0
37,Aprepitantum,"Aprepitant Stada, kaps. twarde, 125 mg; 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909991412715,2021-05-01,3 lata,"1114.0, Aprepitant","59,40","62,37","62,37",C.0.12.,bezpłatny,0
38,Aprepitantum,"Emend, kaps. twarde, 125 mg; 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909990007387,2020-09-01,5 lat,"1114.0, Aprepitant","64,80","68,04","68,04",C.0.12.,bezpłatny,0
39,Arsenii trioxidum,"Arsenic trioxide Accord, koncentrat do sporządzania roztworu do infuzji, 1 mg/ml",10 fiol.,05055565763643,<1><2>2020-11-01/<3>2022-11-01,3 lata,"1109.0, Trójtlenek arsenu","7236,00","7597,80","7560,00",<1>C.65.a.; <2>C.65.b.; <3>C.65.c.,bezpłatny,0
40,Arsenii trioxidum,"Trisenox, koncentrat do sporządzania roztworu do infuzji, 2 mg/ml",10 fiolek po 6 ml,05909991404406,2022-03-01,<1><2>3 lata/<3>2 lata,"1109.0, Trójtlenek arsenu","8640,00","9072,00","9072,00",<1>C.65.a.; <2>C.65.b.; <3>C.65.c.,bezpłatny,0
41,Azacitidine,"Azacitidine Mylan, proszek do sporządzania zawiesiny do wstrzykiwań, 25 mg/ml",1 fiol. a 100 mg,05901797710859,2021-05-01,<1>3 lata/<2>2 lata,"1118.0, Leki przeciwnowotworowe – antymetabolity – analogi pirymidyny – azacytydyna","537,84","564,73","564,73",<1>C.69.a.; <2>C.69.b.,bezpłatny,0
42,Azacitidinum,"Azacitidine Accord, proszek do sporządzania zawiesiny do wstrzykiwań, 25 mg/ml",1 fiol. a 100 mg,05055565758359,<1>2020-11-01/<2>2022-11-01,<1>3 lata/<2>2 lata,"1118.0, Leki przeciwnowotworowe – antymetabolity – analogi pirymidyny – azacytydyna","537,84","564,73","564,73",<1>C.69.a.; <2>C.69.b.,bezpłatny,0
43,Azacitidinum,"Azacitidine Pharmascience, proszek do sporządzania zawiesiny do wstrzykiwań, 25 mg/ml",1 fiol. a 100 mg,05909991452001,2021-07-01,<1>3 lata/<2>2 lata,"1118.0, Leki przeciwnowotworowe – antymetabolity – analogi pirymidyny – azacytydyna","518,40","544,32","544,32",<1>C.69.a.; <2>C.69.b.,bezpłatny,0
44,Azacitidinum,"Azacitidine Pharmascience, proszek do sporządzania zawiesiny do wstrzykiwań, 25 mg/ml",1 fiol. a 150 mg,05909991451998,2021-07-01,<1>3 lata/<2>2 lata,"1118.0, Leki przeciwnowotworowe – antymetabolity – analogi pirymidyny – azacytydyna","777,60","816,48","816,48",<1>C.69.a.; <2>C.69.b.,bezpłatny,0
45,Azacitidinum,"Azacitidine Sandoz, proszek do sporządzania zawiesiny do wstrzykiwań, 100 mg",1 fiol.,07613421045159,2021-11-01,<1>3 lata/<2>2 lata,"1118.0, Leki przeciwnowotworowe – antymetabolity – analogi pirymidyny – azacytydyna","516,24","542,05","542,05",<1>C.69.a.; <2>C.69.b.,bezpłatny,0
46,Azacitidinum,"Azacitidine STADA, proszek do sporządzania zawiesiny do wstrzykiwań, 25 mg/ml",1 fiol. a 100 mg,05909991463489,2022-09-01,<1>3 lata/<2>2 lata,"1118.0, Leki przeciwnowotworowe – antymetabolity – analogi pirymidyny – azacytydyna","410,40","430,92","430,92",<1>C.69.a.; <2>C.69.b.,bezpłatny,0
47,Azacitidinum,"Gerodaza, proszek do sporządzania zawiesiny do wstrzykiwań, 25 mg/ml",1 fiol. a 100 mg,09008732013641,2022-09-01,<1>3 lata/<2>2 lata,"1118.0, Leki przeciwnowotworowe – antymetabolity – analogi pirymidyny – azacytydyna","410,40","430,92","430,92",<1>C.69.a.; <2>C.69.b.,bezpłatny,0
48,Azacitidinum,"Zassida, proszek do sporządzania zawiesiny do wstrzykiwań, 25 mg/ml",1 fiol. a 100 mg,05909991454845,2022-01-01,<1>3 lata/<2>2 lata,"1118.0, Leki przeciwnowotworowe – antymetabolity – analogi pirymidyny – azacytydyna","421,20","442,26","442,26",<1>C.69.a.; <2>C.69.b.,bezpłatny,0
50,Bendamustini hydrochloridum,"Bendamustine Accord, proszek do sporządzania koncentratu roztworu do infuzji, 2,5 mg/ml",5 fiol.po 100 mg,05909991198183,2022-01-01,3 lata,"1115.0, Bendamustyna","1566,00","1644,30","1644,30",C.67.,bezpłatny,0
49,Bendamustini hydrochloridum,"Bendamustine Accord, proszek do sporządzania koncentratu roztworu do infuzji, 2,5 mg/ml",5 fiol.po 25 mg,05909991198145,2022-01-01,3 lata,"1115.0, Bendamustyna","391,50","411,08","411,08",C.67.,bezpłatny,0
52,Bendamustini hydrochloridum,"Bendamustine Glenmark, proszek do sporządzania koncentratu roztworu do infuzji, 2,5 mg/ml",5 fiol. (100 mg),05902020241508,2020-09-01,3 lata,"1115.0, Bendamustyna","2484,00","2608,20","1644,30",C.67.,bezpłatny,0
51,Bendamustini hydrochloridum,"Bendamustine Glenmark, proszek do sporządzania koncentratu roztworu do infuzji, 2,5 mg/ml",5 fiol. (25 mg),05902020241492,2020-09-01,3 lata,"1115.0, Bendamustyna","621,00","652,05","411,08",C.67.,bezpłatny,0
54,Bendamustini hydrochloridum,"Bendamustine Zentiva, proszek do sporządzania koncentratu roztworu do infuzji, 2,5 mg/ml",5 fiol.po 100 mg,05909991267285,2022-01-01,3 lata,"1115.0, Bendamustyna","838,08","879,98","879,98",C.67.,bezpłatny,0
53,Bendamustini hydrochloridum,"Bendamustine Zentiva, proszek do sporządzania koncentratu roztworu do infuzji, 2,5 mg/ml",5 fiol.po 25 mg,05909991267292,2022-01-01,3 lata,"1115.0, Bendamustyna","209,52","220,00","220,00",C.67.,bezpłatny,0
55,Bevacizumabum,"Alymsys, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 16 ml,08436596260047,<1><2><3>2021-09-01/<4>2022-11-01,<1><3>3 lata/<2><4>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","1987,20","2086,56","2086,56",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
56,Bevacizumabum,"Alymsys, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,08436596260030,<1><2><3><5>2021-09-01/<4>2022-11-01,<1><3>3 lata/<2><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","496,80","521,64","521,64",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
57,Bevacizumabum,"Avastin, koncentrat do sporządzania roztworu do infuzji, 100 mg/4 ml",1 fiol.po 4 ml,05909990010486,<1>2021-03-01/<2>2021-05-01/<3>2022-07-01/<4>2022-05-01/<5>2021-07-01,<1>3 lata/<2><3><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","1171,80","1230,39","521,64",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
58,Bevacizumabum,"Avastin, koncentrat do sporządzania roztworu do infuzji, 400 mg/16 ml",1 fiol.po 16 ml,05909990010493,<1>2021-03-01/<2>2021-05-01/<3>2022-07-01/<4>2022-05-01,<1>3 lata/<2><3><4>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","4687,20","4921,56","2086,56",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
60,Bevacizumabum,"Mvasi, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 16 ml,08715131021870,<1><3>2021-01-01/<2>2021-09-01/<4>2022-09-01,<1><3>3 lata/<2><4>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","2165,83","2274,12","2086,56",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
59,Bevacizumabum,"Mvasi, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,08715131021863,<1><3>2021-01-01/<2>2021-09-01/<4>2022-09-01/<5>2021-07-01,<1><3>3 lata/<2><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","541,46","568,53","521,64",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
61,Bevacizumabum,"Oyavas, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 16 ml,05909991451349,<1><2><3>2022-03-01/<4>2023-01-01,<1><3>3 lata/<2><4>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","1825,20","1916,46","1916,46",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
62,Bevacizumabum,"Oyavas, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,05909991451332,<1><2><3><5>2022-03-01/<4>2023-01-01,<1><3>3 lata/<2><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","456,30","479,12","479,12",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
63,Bevacizumabum,"Zirabev, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 16 ml,05415062349342,2021-03-01,3 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","2181,60","2290,68","2086,56",C.82.a.; C.82.c.,bezpłatny,0
64,Bevacizumabum,"Zirabev, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,05415062349359,<1><2>2021-03-01/<3>2021-07-01,<1><2>3 lata/<3>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","545,40","572,67","521,64",<1>C.82.a.; <2>C.82.c.,bezpłatny,0
65,Bewacyzumab,"Abevmy, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 16 ml,05901797710989,<1><2><3>2021-11-01/<4>2022-11-01,<1><3>3 lata/<2><4>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","1900,80","1995,84","1995,84",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
66,Bewacyzumab,"Abevmy, koncentrat do sporządzania roztworu do infuzji, 25 mg/ml",1 fiol.a 4 ml,05901797710972,<1><2><3><5>2021-11-01/<4>2022-11-01,<1><3>3 lata/<2><4><5>2 lata,"1095.0, Leki p-nowotworowe, przeciwciała monoklonalne - bewacyzumab","475,20","498,96","498,96",<1>C.82.a.; <2>C.82.b.; <3>C.82.c.; <4>C.82.d.,bezpłatny,0
67,Bicalutamidum,"Bicalutamide Accord, tabl. powl., 50 mg",28 szt.,05909990851188,2022-07-01,3 lata,"1002.0, Bicalutamidum","18,36","19,28","19,28",C.2.,bezpłatny,0
68,Bicalutamidum,"Binabic, tabl. powl., 150 mg",28 szt.,05909990697427,2022-05-01,3 lata,"1002.0, Bicalutamidum","146,88","154,22","154,22",C.2.,bezpłatny,0
69,Bicalutamidum,"Binabic, tabl. powl., 50 mg",28 szt.,05909990696963,2022-11-01,3 lata,"1002.0, Bicalutamidum","51,30","53,87","51,41",C.2.,bezpłatny,0
70,Bleomycini sulphas,"Bleomedac, proszek do sporządzania roztworu do wstrzykiwań, 15000 IU/fiolkę",1 fiol.po 10 ml,05909990946983,2022-07-01,3 lata,"1003.0, Bleomycinum","97,20","102,06","102,06",C.3.,bezpłatny,0
71,Bortezomibum,"Bortezomib Accord, proszek do sporządzania roztworu do wstrzykiwań, 1 mg",1 fiol. 6 ml,05055565749142,2023-01-01,3 lata,"1054.0, Bortezomib","216,00","226,80","194,40",C.76.,bezpłatny,0
72,Bortezomibum,"Bortezomib Accord, proszek do sporządzania roztworu do wstrzykiwań, 3,5 mg",1 fiol.,05055565718339,2021-09-01,3 lata,"1054.0, Bortezomib","648,00","680,40","680,40",C.76.,bezpłatny,0
73,Bortezomibum,"Bortezomib Adamed, proszek do sporządzania roztworu do wstrzykiwań, 1 mg",1 fiol.,05906414000771,2021-11-01,3 lata,"1054.0, Bortezomib","301,32","316,39","194,40",C.76.,bezpłatny,0
74,Bortezomibum,"Bortezomib Adamed, proszek do sporządzania roztworu do wstrzykiwań, 2,5 mg",1 fiol.,05900411003193,2023-03-01,3 lata,"1054.0, Bortezomib","604,80","635,04","486,00",C.76.,bezpłatny,0
75,Bortezomibum,"Bortezomib Adamed, proszek do sporządzania roztworu do wstrzykiwań, 3,5 mg",1 fiol.,05906414000788,2021-11-01,3 lata,"1054.0, Bortezomib","1020,60","1071,63","680,40",C.76.,bezpłatny,0
76,Bortezomibum,"Bortezomib Aurovitas, proszek do sporządzania roztworu do wstrzykiwań, 3,5 mg",1 fiol.,05909991451813,2022-07-01,3 lata,"1054.0, Bortezomib","211,46","222,03","222,03",C.76.,bezpłatny,0
77,Bortezomibum,"Bortezomib Fresenius Kabi, proszek do sporządzania roztworu do wstrzykiwań, 1 mg",1 fiol.,04052682057427,2022-11-01,3 lata,"1054.0, Bortezomib","124,20","130,41","130,41",C.76.,bezpłatny,0
78,Bortezomibum,"Bortezomib Fresenius Kabi, proszek do sporządzania roztworu do wstrzykiwań, 2,5 mg",1 fiol.,04052682057434,2022-11-01,3 lata,"1054.0, Bortezomib","162,00","170,10","170,10",C.76.,bezpłatny,0
79,Bortezomibum,"Bortezomib Fresenius Kabi, proszek do sporządzania roztworu do wstrzykiwań, 3,5 mg",1 fiol.,04052682056314,2022-11-01,3 lata,"1054.0, Bortezomib","196,56","206,39","206,39",C.76.,bezpłatny,0
80,Bortezomibum,"Bortezomib Glenmark, proszek do sporządzania roztworu do wstrzykiwań, 1 mg",1 fiol.,05902020241461,2021-11-01,3 lata,"1054.0, Bortezomib","172,80","181,44","181,44",C.76.,bezpłatny,0
81,Bortezomibum,"Bortezomib Glenmark, proszek do sporządzania roztworu do wstrzykiwań, 3,5 mg",1 fiol.,05902020241478,2021-11-01,3 lata,"1054.0, Bortezomib","604,80","635,04","635,04",C.76.,bezpłatny,0
82,Bortezomibum,"Bortezomib SUN, proszek do sporządzania roztworu do wstrzykiwań, 3,5 mg",1 fiol.,05909991351762,2022-11-01,3 lata,"1054.0, Bortezomib","194,40","204,12","204,12",C.76.,bezpłatny,0
83,Busulfanum,"Myleran, tabl. powl., 2 mg",100 szt.,05909990277926,2022-07-01,3 lata,"1101.0, Busulfanum","356,40","374,22","374,22",C.4.,bezpłatny,0
85,Calcii folinas,"Calcium folinate Sandoz, roztwór do wstrzykiwań i infuzji, 10 mg/ml",1 fiol. 100 ml,05907626707601,2022-09-01,3 lata,"1093.0, pochodne i sole kwasu folinowego","162,00","170,10","170,10",C.0.02.,bezpłatny,0
84,Calcii folinas,"Calcium folinate Sandoz, roztwór do wstrzykiwań i infuzji, 10 mg/ml",1 fiol. 50 ml,05907626707595,2022-09-01,3 lata,"1093.0, pochodne i sole kwasu folinowego","81,00","85,05","85,05",C.0.02.,bezpłatny,0
86,Capecitabinum,"Capecitabine Accord, tabl. powl., 150 mg",60 szt.,05055565707531,<1>2022-03-01/<2>2020-09-01/<3>2022-01-01,3 lata,"1006.0, Capecitabinum","74,52","78,25","67,19",<1>C.5.a.; <2>C.5.b.; <3>C.5.c.,bezpłatny,0
87,Capecitabinum,"Capecitabine Accord, tabl. powl., 300 mg",60 szt.,05055565709153,<1>2022-03-01/<2>2020-09-01/<3>2022-01-01,3 lata,"1006.0, Capecitabinum","149,04","156,49","134,38",<1>C.5.a.; <2>C.5.b.; <3>C.5.c.,bezpłatny,0
88,Capecitabinum,"Capecitabine Accord, tabl. powl., 500 mg",120 szt.,05055565707548,<1>2022-03-01/<2>2020-09-01/<3>2022-01-01,3 lata,"1006.0, Capecitabinum","432,00","453,60","447,93",<1>C.5.a.; <2>C.5.b.; <3>C.5.c.,bezpłatny,0
89,Capecitabinum,"Capecitabine Glenmark, tabl. powl., 150 mg",60 szt.,05909991004736,<1>2022-03-01/<2>2020-09-01/<3>2022-01-01,3 lata,"1006.0, Capecitabinum","63,99","67,19","67,19",<1>C.5.a.; <2>C.5.b.; <3>C.5.c.,bezpłatny,0
90,Capecitabinum,"Capecitabine Glenmark, tabl. powl., 500 mg",120 szt.,05909991004699,<1>2022-03-01/<2>2020-09-01/<3>2022-01-01,3 lata,"1006.0, Capecitabinum","426,60","447,93","447,93",<1>C.5.a.; <2>C.5.b.; <3>C.5.c.,bezpłatny,0
91,Capecitabinum,"Ecansya, tabl. powl., 150 mg",60 szt.,05909991011079,<1>2022-03-01/<2>2020-09-01/<3>2022-01-01,3 lata,"1006.0, Capecitabinum","86,40","90,72","67,19",<1>C.5.a.; <2>C.5.b.; <3>C.5.c.,bezpłatny,0
92,Capecitabinum,"Ecansya, tabl. powl., 500 mg",120 szt.,05909991011239,<1>2022-03-01/<2>2020-09-01/<3>2022-01-01,3 lata,"1006.0, Capecitabinum","576,00","604,80","447,93",<1>C.5.a.; <2>C.5.b.; <3>C.5.c.,bezpłatny,0
94,Carboplatinum,"Carbomedac, koncentrat do sporządzania roztworu do infuzji, 10 mg/ml",1 fiol. po 100 ml,05909990816194,2021-05-01,3 lata,"1005.0, Carboplatinum","257,04","269,89","269,89",C.6.,bezpłatny,0
